source_record_id,order_item_id,order_id,product_id,quantity,unit_price,discount_amount,tax_amount,line_total_amount,created_at,updated_at
SRC_ORDER_ITEM_B002_000000021,OI0000371851,O000120828,P000256,2,828.00,0.00,331.20,1987.20,2026-09-03 09:24:55,2026-09-03 09:24:55
SRC_ORDER_ITEM_B002_000000022,OI0000371852,O000120828,P000462,2,938.44,0.00,375.38,2252.26,2026-09-03 09:24:55,2026-09-03 09:24:55
SRC_ORDER_ITEM_B002_000000023,OI0000371853,O000120828,P000009,1,732.21,146.44,117.15,702.92,2026-09-03 09:24:55,2026-09-03 09:24:55
SRC_ORDER_ITEM_B002_000000024,OI0000371854,O000120829,P000183,1,954.69,47.73,181.39,1088.35,2026-09-02 04:08:44,2026-09-02 04:08:44
SRC_ORDER_ITEM_B002_000000025,OI0000371855,O000120829,P000185,1,694.40,0.00,138.88,833.28,2026-09-02 04:08:44,2026-09-02 04:08:44
SRC_ORDER_ITEM_B002_000000026,OI0000371856,O000120829,P000388,2,732.34,73.23,278.29,1669.74,2026-09-02 04:08:44,2026-09-02 04:08:44
SRC_ORDER_ITEM_B002_000000027,OI0000371857,O000120829,P000269,4,707.43,282.97,509.35,3056.10,2026-09-02 04:08:44,2026-09-02 04:08:44
SRC_ORDER_ITEM_B002_000000028,OI0000371858,O000120830,P000137,1,217.76,0.00,43.55,261.31,2026-09-02 17:46:22,2026-09-02 17:46:22
SRC_ORDER_ITEM_B002_000000029,OI0000371859,O000120831,P000200,1,221.07,44.21,35.37,212.23,2026-09-03 11:42:35,2026-09-03 11:42:35
SRC_ORDER_ITEM_B002_000000030,OI0000371860,O000120831,P000085,1,337.27,0.00,67.45,404.72,2026-09-03 11:42:35,2026-09-03 11:42:35
SRC_ORDER_ITEM_B002_000000031,OI0000371861,O000120831,P000047,1,224.72,0.00,44.94,269.66,2026-09-03 11:42:35,2026-09-03 11:42:35
SRC_ORDER_ITEM_B002_000000032,OI0000371862,O000120831,P000350,1,679.44,0.00,135.89,815.33,2026-09-03 11:42:35,2026-09-03 11:42:35
SRC_ORDER_ITEM_B002_000000033,OI0000371863,O000120832,P000288,1,487.83,0.00,97.57,585.40,2026-09-03 04:56:01,2026-09-03 04:56:01
SRC_ORDER_ITEM_B002_000000034,OI0000371864,O000120832,P000480,1,448.60,0.00,89.72,538.32,2026-09-03 04:56:01,2026-09-03 04:56:01
SRC_ORDER_ITEM_B002_000000035,OI0000371865,O000120832,P000234,1,919.44,0.00,183.89,1103.33,2026-09-03 04:56:01,2026-09-03 04:56:01
SRC_ORDER_ITEM_B002_000000036,OI0000371866,O000120832,P000084,1,974.97,0.00,194.99,1169.96,2026-09-03 04:56:01,2026-09-03 04:56:01
SRC_ORDER_ITEM_B002_000000037,OI0000371867,O000120833,P000530,1,889.24,0.00,177.85,1067.09,2026-09-03 20:05:37,2026-09-03 20:05:37
SRC_ORDER_ITEM_B002_000000038,OI0000371868,O000120833,P000481,1,182.36,0.00,36.47,218.83,2026-09-03 20:05:37,2026-09-03 20:05:37
SRC_ORDER_ITEM_B002_000000039,OI0000371869,O000120833,P000505,1,822.50,0.00,164.50,987.00,2026-09-03 20:05:37,2026-09-03 20:05:37
SRC_ORDER_ITEM_B002_000000040,OI0000371870,O000120834,P000519,2,227.09,0.00,90.84,545.02,2026-09-03 06:43:18,2026-09-03 06:43:18
SRC_ORDER_ITEM_B002_000000041,OI0000371871,O000120835,P000516,1,17.99,0.90,3.42,20.51,2026-09-02 18:14:57,2026-09-02 18:14:57
SRC_ORDER_ITEM_B002_000000042,OI0000371872,O000120835,P000539,1,796.82,0.00,159.36,956.18,2026-09-02 18:14:57,2026-09-02 18:14:57
SRC_ORDER_ITEM_B002_000000043,OI0000371873,O000120835,P000521,2,163.84,0.00,65.54,393.22,2026-09-02 18:14:57,2026-09-02 18:14:57
SRC_ORDER_ITEM_B002_000000044,OI0000371874,O000120836,P000275,1,1020.19,0.00,204.04,1224.23,2026-09-02 05:00:33,2026-09-02 05:00:33
SRC_ORDER_ITEM_B002_000000045,OI0000371875,O000120836,P000363,1,895.85,0.00,179.17,1075.02,2026-09-02 05:00:33,2026-09-02 05:00:33
SRC_ORDER_ITEM_B002_000000046,OI0000371876,O000120836,P000413,1,67.56,0.00,13.51,81.07,2026-09-02 05:00:33,2026-09-02 05:00:33
SRC_ORDER_ITEM_B002_000000047,OI0000371877,O000120837,P000240,1,676.23,0.00,135.25,811.48,2026-09-02 01:41:12,2026-09-02 01:41:12
SRC_ORDER_ITEM_B002_000000048,OI0000371878,O000120837,P000117,2,626.53,0.00,250.61,1503.67,2026-09-02 01:41:12,2026-09-02 01:41:12
SRC_ORDER_ITEM_B002_000000049,OI0000371879,O000120837,P000455,3,275.45,0.00,165.27,991.62,2026-09-02 01:41:12,2026-09-02 01:41:12
SRC_ORDER_ITEM_B002_000000050,OI0000371880,O000120838,P000172,2,859.63,0.00,343.85,2063.11,2026-09-01 21:39:16,2026-09-01 21:39:16
SRC_ORDER_ITEM_B002_000000051,OI0000371881,O000120839,P000380,1,750.19,0.00,150.04,900.23,2026-09-01 12:12:02,2026-09-01 12:12:02
SRC_ORDER_ITEM_B002_000000052,OI0000371882,O000120839,P000176,1,774.61,77.46,139.43,836.58,2026-09-01 12:12:02,2026-09-01 12:12:02
SRC_ORDER_ITEM_B002_000000053,OI0000371883,O000120840,P000442,1,548.39,0.00,109.68,658.07,2026-09-03 11:37:12,2026-09-03 11:37:12
SRC_ORDER_ITEM_B002_000000054,OI0000371884,O000120841,P000117,3,626.53,0.00,375.92,2255.51,2026-09-02 20:32:15,2026-09-02 20:32:15
SRC_ORDER_ITEM_B002_000000055,OI0000371885,O000120841,P000138,2,695.31,139.06,250.31,1501.87,2026-09-02 20:32:15,2026-09-02 20:32:15
SRC_ORDER_ITEM_B002_000000056,OI0000371886,O000120842,P000439,1,461.61,23.08,87.71,526.24,2026-09-02 00:48:37,2026-09-02 00:48:37
SRC_ORDER_ITEM_B002_000000057,OI0000371887,O000120843,P000511,1,8.40,0.00,1.68,10.08,2026-09-02 04:53:56,2026-09-02 04:53:56
SRC_ORDER_ITEM_B002_000000058,OI0000371888,O000120843,P000089,2,639.66,63.97,243.07,1458.42,2026-09-02 04:53:56,2026-09-02 04:53:56
SRC_ORDER_ITEM_B002_000000059,OI0000371889,O000120844,P000420,1,986.94,0.00,197.39,1184.33,2026-09-01 09:09:44,2026-09-01 09:09:44
SRC_ORDER_ITEM_B002_000000060,OI0000371890,O000120844,P000428,1,781.32,0.00,156.26,937.58,2026-09-01 09:09:44,2026-09-01 09:09:44
SRC_ORDER_ITEM_B002_000000061,OI0000371891,O000120844,P000332,1,262.85,0.00,52.57,315.42,2026-09-01 09:09:44,2026-09-01 09:09:44
SRC_ORDER_ITEM_B002_000000062,OI0000371892,O000120844,P000234,1,919.44,0.00,183.89,1103.33,2026-09-01 09:09:44,2026-09-01 09:09:44
SRC_ORDER_ITEM_B002_000000063,OI0000371893,O000120844,P000301,3,93.32,14.00,53.19,319.15,2026-09-01 09:09:44,2026-09-01 09:09:44
SRC_ORDER_ITEM_B002_000000064,OI0000371894,O000120845,P000014,1,832.99,0.00,166.60,999.59,2026-09-02 04:11:41,2026-09-02 04:11:41
SRC_ORDER_ITEM_B002_000000065,OI0000371895,O000120845,P000516,3,17.99,0.00,10.79,64.76,2026-09-02 04:11:41,2026-09-02 04:11:41
SRC_ORDER_ITEM_B002_000000066,OI0000371896,O000120845,P000359,2,179.43,0.00,71.77,430.63,2026-09-02 04:11:41,2026-09-02 04:11:41
SRC_ORDER_ITEM_B002_000000067,OI0000371897,O000120845,P000322,3,16.32,2.45,9.30,55.81,2026-09-02 04:11:41,2026-09-02 04:11:41
SRC_ORDER_ITEM_B002_000000068,OI0000371898,O000120846,P000081,2,161.05,0.00,64.42,386.52,2026-09-01 22:31:11,2026-09-01 22:31:11
SRC_ORDER_ITEM_B002_000000069,OI0000371899,O000120846,P000345,1,960.60,0.00,192.12,1152.72,2026-09-01 22:31:11,2026-09-01 22:31:11
SRC_ORDER_ITEM_B002_000000070,OI0000371900,O000120846,P000347,2,378.30,0.00,151.32,907.92,2026-09-01 22:31:11,2026-09-01 22:31:11
SRC_ORDER_ITEM_B002_000000071,OI0000371901,O000120846,P000190,2,302.01,30.20,114.76,688.58,2026-09-01 22:31:11,2026-09-01 22:31:11
SRC_ORDER_ITEM_B002_000000072,OI0000371902,O000120846,P000207,1,415.65,0.00,83.13,498.78,2026-09-01 22:31:11,2026-09-01 22:31:11
SRC_ORDER_ITEM_B002_000000073,OI0000371903,O000120847,P000537,2,292.82,0.00,117.13,702.77,2026-09-01 18:44:09,2026-09-01 18:44:09
SRC_ORDER_ITEM_B002_000000074,OI0000371904,O000120847,P000019,1,103.18,0.00,20.64,123.82,2026-09-01 18:44:09,2026-09-01 18:44:09
SRC_ORDER_ITEM_B002_000000075,OI0000371905,O000120847,P000438,3,824.17,0.00,494.50,2967.01,2026-09-01 18:44:09,2026-09-01 18:44:09
SRC_ORDER_ITEM_B002_000000076,OI0000371906,O000120848,P000374,1,919.88,0.00,183.98,1103.86,2026-09-02 12:24:12,2026-09-02 12:24:12
SRC_ORDER_ITEM_B002_000000077,OI0000371907,O000120848,P000300,1,868.03,86.80,156.25,937.48,2026-09-02 12:24:12,2026-09-02 12:24:12
SRC_ORDER_ITEM_B002_000000078,OI0000371908,O000120849,P000190,2,302.01,0.00,120.80,724.82,2026-09-01 11:25:03,2026-09-01 11:25:03
SRC_ORDER_ITEM_B002_000000079,OI0000371909,O000120849,P000465,1,631.20,0.00,126.24,757.44,2026-09-01 11:25:03,2026-09-01 11:25:03
SRC_ORDER_ITEM_B002_000000080,OI0000371910,O000120849,P000238,1,633.94,0.00,126.79,760.73,2026-09-01 11:25:03,2026-09-01 11:25:03
SRC_ORDER_ITEM_B002_000000081,OI0000371911,O000120850,P000145,2,800.49,0.00,320.20,1921.18,2026-09-03 15:31:47,2026-09-03 15:31:47
SRC_ORDER_ITEM_B002_000000082,OI0000371912,O000120851,P000210,1,860.40,86.04,154.87,929.23,2026-09-02 17:51:40,2026-09-02 17:51:40
SRC_ORDER_ITEM_B002_000000083,OI0000371913,O000120851,P000139,1,658.32,65.83,118.50,710.99,2026-09-02 17:51:40,2026-09-02 17:51:40
SRC_ORDER_ITEM_B002_000000084,OI0000371914,O000120852,P000225,2,806.71,0.00,322.68,1936.10,2026-09-03 17:12:17,2026-09-03 17:12:17
SRC_ORDER_ITEM_B002_000000085,OI0000371915,O000120852,P000462,2,938.44,0.00,375.38,2252.26,2026-09-03 17:12:17,2026-09-03 17:12:17
SRC_ORDER_ITEM_B002_000000086,OI0000371916,O000120852,P000176,1,774.61,38.73,147.18,883.06,2026-09-03 17:12:17,2026-09-03 17:12:17
SRC_ORDER_ITEM_B002_000000087,OI0000371917,O000120853,P000550,2,917.96,183.59,330.47,1982.80,2026-09-02 08:11:16,2026-09-02 08:11:16
SRC_ORDER_ITEM_B002_000000088,OI0000371918,O000120853,P000279,2,855.67,0.00,342.27,2053.61,2026-09-02 08:11:16,2026-09-02 08:11:16
SRC_ORDER_ITEM_B002_000000089,OI0000371919,O000120853,P000214,1,794.44,39.72,150.94,905.66,2026-09-02 08:11:16,2026-09-02 08:11:16
SRC_ORDER_ITEM_B002_000000090,OI0000371920,O000120853,P000204,1,901.60,135.24,153.27,919.63,2026-09-02 08:11:16,2026-09-02 08:11:16
SRC_ORDER_ITEM_B002_000000091,OI0000371921,O000120853,P000193,3,90.32,0.00,54.19,325.15,2026-09-02 08:11:16,2026-09-02 08:11:16
SRC_ORDER_ITEM_B002_000000092,OI0000371922,O000120854,P000345,2,960.60,0.00,384.24,2305.44,2026-09-02 20:25:42,2026-09-02 20:25:42
SRC_ORDER_ITEM_B002_000000093,OI0000371923,O000120854,P000122,1,845.61,0.00,169.12,1014.73,2026-09-02 20:25:42,2026-09-02 20:25:42
SRC_ORDER_ITEM_B002_000000094,OI0000371924,O000120854,P000503,1,539.63,0.00,107.93,647.56,2026-09-02 20:25:42,2026-09-02 20:25:42
SRC_ORDER_ITEM_B002_000000095,OI0000371925,O000120854,P000200,4,221.07,44.21,168.01,1008.08,2026-09-02 20:25:42,2026-09-02 20:25:42
SRC_ORDER_ITEM_B002_000000096,OI0000371926,O000120855,P000528,2,211.05,42.21,75.98,455.87,2026-09-01 06:40:40,2026-09-01 06:40:40
SRC_ORDER_ITEM_B002_000000097,OI0000371927,O000120855,P000394,1,219.92,0.00,43.98,263.90,2026-09-01 06:40:40,2026-09-01 06:40:40
SRC_ORDER_ITEM_B002_000000098,OI0000371928,O000120855,P000256,1,828.00,0.00,165.60,993.60,2026-09-01 06:40:40,2026-09-01 06:40:40
SRC_ORDER_ITEM_B002_000000099,OI0000371929,O000120855,P000433,2,753.02,301.21,240.97,1445.80,2026-09-01 06:40:40,2026-09-01 06:40:40
SRC_ORDER_ITEM_B002_000000100,OI0000371930,O000120855,P000067,3,988.44,444.80,504.10,3024.62,2026-09-01 06:40:40,2026-09-01 06:40:40
SRC_ORDER_ITEM_B002_000000101,OI0000371931,O000120856,P000157,3,141.51,21.23,80.66,483.96,2026-09-03 08:26:32,2026-09-03 08:26:32
SRC_ORDER_ITEM_B002_000000102,OI0000371932,O000120856,P000375,1,452.88,0.00,90.58,543.46,2026-09-03 08:26:32,2026-09-03 08:26:32
SRC_ORDER_ITEM_B002_000000103,OI0000371933,O000120856,P000443,4,253.71,0.00,202.97,1217.81,2026-09-03 08:26:32,2026-09-03 08:26:32
SRC_ORDER_ITEM_B002_000000104,OI0000371934,O000120856,P000341,1,756.13,0.00,151.23,907.36,2026-09-03 08:26:32,2026-09-03 08:26:32
SRC_ORDER_ITEM_B002_000000105,OI0000371935,O000120856,P000184,1,141.96,21.29,24.13,144.80,2026-09-03 08:26:32,2026-09-03 08:26:32
SRC_ORDER_ITEM_B002_000000106,OI0000371936,O000120857,P000135,3,998.78,299.63,539.34,3236.05,2026-09-03 13:56:10,2026-09-03 13:56:10
SRC_ORDER_ITEM_B002_000000107,OI0000371937,O000120858,P000425,2,164.69,0.00,65.88,395.26,2026-09-03 02:55:00,2026-09-03 02:55:00
SRC_ORDER_ITEM_B002_000000108,OI0000371938,O000120859,P000009,1,732.21,73.22,131.80,790.79,2026-09-02 19:21:02,2026-09-02 19:21:02
SRC_ORDER_ITEM_B002_000000109,OI0000371939,O000120859,P000210,2,860.40,258.12,292.54,1755.22,2026-09-02 19:21:02,2026-09-02 19:21:02
SRC_ORDER_ITEM_B002_000000110,OI0000371940,O000120859,P000157,1,141.51,28.30,22.64,135.85,2026-09-02 19:21:02,2026-09-02 19:21:02
SRC_ORDER_ITEM_B002_000000111,OI0000371941,O000120859,P000020,1,311.31,0.00,62.26,373.57,2026-09-02 19:21:02,2026-09-02 19:21:02
SRC_ORDER_ITEM_B002_000000112,OI0000371942,O000120859,P000432,1,899.68,179.94,143.95,863.69,2026-09-02 19:21:02,2026-09-02 19:21:02
SRC_ORDER_ITEM_B002_000000113,OI0000371943,O000120859,P000507,1,567.94,0.00,113.59,681.53,2026-09-02 19:21:02,2026-09-02 19:21:02
SRC_ORDER_ITEM_B002_000000114,OI0000371944,O000120860,P000395,3,121.23,0.00,72.74,436.43,2026-09-03 13:00:55,2026-09-03 13:00:55
SRC_ORDER_ITEM_B002_000000115,OI0000371945,O000120860,P000014,3,832.99,124.95,474.80,2848.82,2026-09-03 13:00:55,2026-09-03 13:00:55
SRC_ORDER_ITEM_B002_000000116,OI0000371946,O000120860,P000341,1,756.13,0.00,151.23,907.36,2026-09-03 13:00:55,2026-09-03 13:00:55
SRC_ORDER_ITEM_B002_000000117,OI0000371947,O000120860,P000377,1,636.71,0.00,127.34,764.05,2026-09-03 13:00:55,2026-09-03 13:00:55
SRC_ORDER_ITEM_B002_000000118,OI0000371948,O000120860,P000242,2,347.67,0.00,139.07,834.41,2026-09-03 13:00:55,2026-09-03 13:00:55
SRC_ORDER_ITEM_B002_000000119,OI0000371949,O000120861,P000303,1,563.05,0.00,112.61,675.66,2026-09-01 12:33:21,2026-09-01 12:33:21
SRC_ORDER_ITEM_B002_000000120,OI0000371950,O000120861,P000440,2,46.52,13.96,15.82,94.90,2026-09-01 12:33:21,2026-09-01 12:33:21
SRC_ORDER_ITEM_B002_000000121,OI0000371951,O000120861,P000178,1,221.29,0.00,44.26,265.55,2026-09-01 12:33:21,2026-09-01 12:33:21
SRC_ORDER_ITEM_B002_000000122,OI0000371952,O000120861,P000284,1,709.40,70.94,127.69,766.15,2026-09-01 12:33:21,2026-09-01 12:33:21
SRC_ORDER_ITEM_B002_000000123,OI0000371953,O000120861,P000204,1,901.60,0.00,180.32,1081.92,2026-09-01 12:33:21,2026-09-01 12:33:21
SRC_ORDER_ITEM_B002_000000124,OI0000371954,O000120862,P000182,3,215.08,64.52,116.14,696.86,2026-09-02 22:21:30,2026-09-02 22:21:30
SRC_ORDER_ITEM_B002_000000125,OI0000371955,O000120862,P000524,1,638.56,31.93,121.33,727.96,2026-09-02 22:21:30,2026-09-02 22:21:30
SRC_ORDER_ITEM_B002_000000126,OI0000371956,O000120862,P000067,1,988.44,0.00,197.69,1186.13,2026-09-02 22:21:30,2026-09-02 22:21:30
SRC_ORDER_ITEM_B002_000000127,OI0000371957,O000120862,P000192,3,177.30,0.00,106.38,638.28,2026-09-02 22:21:30,2026-09-02 22:21:30
SRC_ORDER_ITEM_B002_000000128,OI0000371958,O000120863,P000283,1,966.19,0.00,193.24,1159.43,2026-09-01 09:42:39,2026-09-01 09:42:39
SRC_ORDER_ITEM_B002_000000129,OI0000371959,O000120863,P000145,1,800.49,40.02,152.09,912.56,2026-09-01 09:42:39,2026-09-01 09:42:39
SRC_ORDER_ITEM_B002_000000130,OI0000371960,O000120863,P000452,2,484.50,0.00,193.80,1162.80,2026-09-01 09:42:39,2026-09-01 09:42:39
SRC_ORDER_ITEM_B002_000000131,OI0000371961,O000120864,P000038,2,230.32,0.00,92.13,552.77,2026-09-03 00:32:14,2026-09-03 00:32:14
SRC_ORDER_ITEM_B002_000000132,OI0000371962,O000120864,P000349,2,330.50,0.00,132.20,793.20,2026-09-03 00:32:14,2026-09-03 00:32:14
SRC_ORDER_ITEM_B002_000000133,OI0000371963,O000120864,P000516,1,17.99,0.00,3.60,21.59,2026-09-03 00:32:14,2026-09-03 00:32:14
SRC_ORDER_ITEM_B002_000000134,OI0000371964,O000120864,P000514,1,882.17,0.00,176.43,1058.60,2026-09-03 00:32:14,2026-09-03 00:32:14
SRC_ORDER_ITEM_B002_000000135,OI0000371965,O000120864,P000094,1,106.42,21.28,17.03,102.17,2026-09-03 00:32:14,2026-09-03 00:32:14
SRC_ORDER_ITEM_B002_000000136,OI0000371966,O000120864,P000161,1,546.20,81.93,92.85,557.12,2026-09-03 00:32:14,2026-09-03 00:32:14
SRC_ORDER_ITEM_B002_000000137,OI0000371967,O000120865,P000292,1,47.56,0.00,9.51,57.07,2026-09-01 16:22:41,2026-09-01 16:22:41
SRC_ORDER_ITEM_B002_000000138,OI0000371968,O000120865,P000335,3,648.76,0.00,389.26,2335.54,2026-09-01 16:22:41,2026-09-01 16:22:41
SRC_ORDER_ITEM_B002_000000139,OI0000371969,O000120865,P000489,2,326.10,0.00,130.44,782.64,2026-09-01 16:22:41,2026-09-01 16:22:41
SRC_ORDER_ITEM_B002_000000140,OI0000371970,O000120865,P000351,1,679.22,101.88,115.47,692.81,2026-09-01 16:22:41,2026-09-01 16:22:41
SRC_ORDER_ITEM_B002_000000141,OI0000371971,O000120865,P000257,2,254.88,50.98,91.76,550.54,2026-09-01 16:22:41,2026-09-01 16:22:41
SRC_ORDER_ITEM_B002_000000142,OI0000371972,O000120866,P000169,1,900.99,0.00,180.20,1081.19,2026-09-02 17:30:29,2026-09-02 17:30:29
SRC_ORDER_ITEM_B002_000000143,OI0000371973,O000120866,P000086,3,737.06,0.00,442.24,2653.42,2026-09-02 17:30:29,2026-09-02 17:30:29
SRC_ORDER_ITEM_B002_000000144,OI0000371974,O000120866,P000098,2,614.50,0.00,245.80,1474.80,2026-09-02 17:30:29,2026-09-02 17:30:29
SRC_ORDER_ITEM_B002_000000145,OI0000371975,O000120867,P000406,3,952.77,285.83,514.50,3086.98,2026-09-01 13:51:31,2026-09-01 13:51:31
SRC_ORDER_ITEM_B002_000000146,OI0000371976,O000120867,P000010,1,951.01,142.65,161.67,970.03,2026-09-01 13:51:31,2026-09-01 13:51:31
SRC_ORDER_ITEM_B002_000000147,OI0000371977,O000120867,P000248,2,547.67,0.00,219.07,1314.41,2026-09-01 13:51:31,2026-09-01 13:51:31
SRC_ORDER_ITEM_B002_000000148,OI0000371978,O000120867,P000523,2,584.32,116.86,210.36,1262.14,2026-09-01 13:51:31,2026-09-01 13:51:31
SRC_ORDER_ITEM_B002_000000149,OI0000371979,O000120868,P000010,3,951.01,0.00,570.61,3423.64,2026-09-02 17:38:17,2026-09-02 17:38:17
SRC_ORDER_ITEM_B002_000000150,OI0000371980,O000120868,P000106,1,798.64,39.93,151.74,910.45,2026-09-02 17:38:17,2026-09-02 17:38:17
SRC_ORDER_ITEM_B002_000000151,OI0000371981,O000120868,P000437,2,599.24,0.00,239.70,1438.18,2026-09-02 17:38:17,2026-09-02 17:38:17
SRC_ORDER_ITEM_B002_000000152,OI0000371982,O000120868,P000144,1,820.45,0.00,164.09,984.54,2026-09-02 17:38:17,2026-09-02 17:38:17
SRC_ORDER_ITEM_B002_000000153,OI0000371983,O000120869,P000308,1,58.68,0.00,11.74,70.42,2026-09-01 09:52:43,2026-09-01 09:52:43
SRC_ORDER_ITEM_B002_000000154,OI0000371984,O000120870,P000406,1,952.77,95.28,171.50,1028.99,2026-09-03 23:50:28,2026-09-03 23:50:28
SRC_ORDER_ITEM_B002_000000155,OI0000371985,O000120870,P000439,1,461.61,0.00,92.32,553.93,2026-09-03 23:50:28,2026-09-03 23:50:28
SRC_ORDER_ITEM_B002_000000156,OI0000371986,O000120870,P000487,3,17.27,7.77,8.81,52.85,2026-09-03 23:50:28,2026-09-03 23:50:28
SRC_ORDER_ITEM_B002_000000157,OI0000371987,O000120870,P000078,1,501.21,50.12,90.22,541.31,2026-09-03 23:50:28,2026-09-03 23:50:28
SRC_ORDER_ITEM_B002_000000158,OI0000371988,O000120870,P000535,1,672.03,0.00,134.41,806.44,2026-09-03 23:50:28,2026-09-03 23:50:28
SRC_ORDER_ITEM_B002_000000159,OI0000371989,O000120870,P000277,2,1099.18,0.00,439.67,2638.03,2026-09-03 23:50:28,2026-09-03 23:50:28
SRC_ORDER_ITEM_B002_000000160,OI0000371990,O000120871,P000212,2,947.35,0.00,378.94,2273.64,2026-09-02 18:55:54,2026-09-02 18:55:54
SRC_ORDER_ITEM_B002_000000161,OI0000371991,O000120872,P000489,3,326.10,0.00,195.66,1173.96,2026-09-03 20:00:53,2026-09-03 20:00:53
SRC_ORDER_ITEM_B002_000000162,OI0000371992,O000120872,P000433,1,753.02,0.00,150.60,903.62,2026-09-03 20:00:53,2026-09-03 20:00:53
SRC_ORDER_ITEM_B002_000000163,OI0000371993,O000120872,P000438,1,824.17,0.00,164.83,989.00,2026-09-03 20:00:53,2026-09-03 20:00:53
SRC_ORDER_ITEM_B002_000000164,OI0000371994,O000120872,P000409,2,90.56,18.11,32.60,195.61,2026-09-03 20:00:53,2026-09-03 20:00:53
SRC_ORDER_ITEM_B002_000000165,OI0000371995,O000120873,P000220,1,657.08,0.00,131.42,788.50,2026-09-01 23:11:07,2026-09-01 23:11:07
SRC_ORDER_ITEM_B002_000000166,OI0000371996,O000120874,P000478,1,377.79,37.78,68.00,408.01,2026-09-02 06:08:10,2026-09-02 06:08:10
SRC_ORDER_ITEM_B002_000000167,OI0000371997,O000120875,P000483,2,666.72,0.00,266.69,1600.13,2026-09-02 04:46:58,2026-09-02 04:46:58
SRC_ORDER_ITEM_B002_000000168,OI0000371998,O000120876,P000301,4,93.32,37.33,67.19,403.14,2026-09-03 00:53:17,2026-09-03 00:53:17
SRC_ORDER_ITEM_B002_000000169,OI0000371999,O000120877,P000025,2,739.47,147.89,266.21,1597.26,2026-09-01 09:22:28,2026-09-01 09:22:28
SRC_ORDER_ITEM_B002_000000170,OI0000372000,O000120877,P000501,3,116.91,0.00,70.15,420.88,2026-09-01 09:22:28,2026-09-01 09:22:28
