source_record_id,payment_id,order_id,customer_id,payment_timestamp,payment_method,payment_status,amount,currency_code,transaction_reference,created_at,updated_at
SRC_PAYMENT_B002_000000011,PAY0000126253,O000120833,C0017847,2026-09-03 20:40:03,CARD,CAPTURED,2272.92,GBP,TXN-B002-000000126253,2026-09-03 20:40:03,2026-09-03 20:40:03
SRC_PAYMENT_B002_000000012,PAY0000126254,O000120834,C0037016,2026-09-03 07:37:57,PAYPAL,CAPTURED,545.02,GBP,TXN-B002-000000126254,2026-09-03 07:37:57,2026-09-03 07:37:57
SRC_PAYMENT_B002_000000013,PAY0000126255,O000120835,C0010163,2026-09-02 18:16:30,GIFT_CARD,CAPTURED,1369.91,GBP,TXN-B002-000000126255,2026-09-02 18:16:30,2026-09-02 18:16:30
SRC_PAYMENT_B002_000000014,PAY0000126256,O000120836,C0033435,2026-09-02 05:14:11,CARD,CAPTURED,2380.32,GBP,TXN-B002-000000126256,2026-09-02 05:14:11,2026-09-02 05:14:11
SRC_PAYMENT_B002_000000015,PAY0000126257,O000120838,C0026201,2026-09-01 21:47:15,CARD,CAPTURED,2063.11,GBP,TXN-B002-000000126257,2026-09-01 21:47:15,2026-09-01 21:47:15
SRC_PAYMENT_B002_000000016,PAY0000126258,O000120839,C0036122,2026-09-01 12:41:48,CARD,CAPTURED,1736.81,GBP,TXN-B002-000000126258,2026-09-01 12:41:48,2026-09-01 12:41:48
SRC_PAYMENT_B002_000000017,PAY0000126259,O000120840,C0042788,2026-09-03 12:30:09,PAYPAL,CAPTURED,658.07,GBP,TXN-B002-000000126259,2026-09-03 12:30:09,2026-09-03 12:30:09
SRC_PAYMENT_B002_000000018,PAY0000126260,O000120841,C0037105,2026-09-02 21:05:51,CARD,CAPTURED,3757.38,GBP,TXN-B002-000000126260,2026-09-02 21:05:51,2026-09-02 21:05:51
SRC_PAYMENT_B002_000000019,PAY0000126261,O000120842,C0034482,2026-09-02 00:58:56,CARD,CAPTURED,526.24,GBP,TXN-B002-000000126261,2026-09-02 00:58:56,2026-09-02 00:58:56
SRC_PAYMENT_B002_000000020,PAY0000126262,O000120843,C0024262,2026-09-02 05:05:49,CARD,CAPTURED,1468.50,GBP,TXN-B002-000000126262,2026-09-02 05:05:49,2026-09-02 05:05:49
SRC_PAYMENT_B002_000000021,PAY0000126263,O000120844,C0018962,2026-09-01 09:12:22,CARD,CAPTURED,3859.81,GBP,TXN-B002-000000126263,2026-09-01 09:12:22,2026-09-01 09:12:22
SRC_PAYMENT_B002_000000022,PAY0000126264,O000120845,C0014883,2026-09-02 04:32:22,CARD,CAPTURED,1550.79,GBP,TXN-B002-000000126264,2026-09-02 04:32:22,2026-09-02 04:32:22
SRC_PAYMENT_B002_000000023,PAY0000126265,O000120846,C0019490,2026-09-01 23:26:11,BANK_TRANSFER,CAPTURED,3634.52,GBP,TXN-B002-000000126265,2026-09-01 23:26:11,2026-09-01 23:26:11
SRC_PAYMENT_B002_000000024,PAY0000126266,O000120847,C0010878,2026-09-01 19:38:07,CARD,CAPTURED,3793.60,GBP,TXN-B002-000000126266,2026-09-01 19:38:07,2026-09-01 19:38:07
SRC_PAYMENT_B002_000000025,PAY0000126267,O000120848,C0016237,2026-09-02 12:53:54,CARD,CAPTURED,2041.34,GBP,TXN-B002-000000126267,2026-09-02 12:53:54,2026-09-02 12:53:54
SRC_PAYMENT_B002_000000026,PAY0000126268,O000120849,C0001888,2026-09-01 11:25:39,PAYPAL,CAPTURED,2242.99,GBP,TXN-B002-000000126268,2026-09-01 11:25:39,2026-09-01 11:25:39
SRC_PAYMENT_B002_000000027,PAY0000126269,O000120850,C0021171,2026-09-03 15:33:46,PAYPAL,CAPTURED,1921.18,GBP,TXN-B002-000000126269,2026-09-03 15:33:46,2026-09-03 15:33:46
SRC_PAYMENT_B002_000000028,PAY0000126270,O000120853,C0047520,2026-09-02 08:51:08,GIFT_CARD,CAPTURED,6186.85,GBP,TXN-B002-000000126270,2026-09-02 08:51:08,2026-09-02 08:51:08
SRC_PAYMENT_B002_000000029,PAY0000126271,O000120854,C0019445,2026-09-02 20:44:54,CARD,CAPTURED,4975.81,GBP,TXN-B002-000000126271,2026-09-02 20:44:54,2026-09-02 20:44:54
SRC_PAYMENT_B002_000000030,PAY0000126272,O000120855,C0003770,2026-09-01 06:49:45,CARD,CAPTURED,6183.79,GBP,TXN-B002-000000126272,2026-09-01 06:49:45,2026-09-01 06:49:45
SRC_PAYMENT_B002_000000031,PAY0000126273,O000120857,C0045919,2026-09-03 14:54:17,CARD,CAPTURED,3236.05,GBP,TXN-B002-000000126273,2026-09-03 14:54:17,2026-09-03 14:54:17
SRC_PAYMENT_B002_000000032,PAY0000126274,O000120858,C0022629,2026-09-03 02:56:33,CARD,CAPTURED,395.26,GBP,TXN-B002-000000126274,2026-09-03 02:56:33,2026-09-03 02:56:33
SRC_PAYMENT_B002_000000033,PAY0000126275,O000120859,C0016254,2026-09-02 20:19:01,CARD,CAPTURED,4600.65,GBP,TXN-B002-000000126275,2026-09-02 20:19:01,2026-09-02 20:19:01
SRC_PAYMENT_B002_000000034,PAY0000126276,O000120860,C0047654,2026-09-03 13:34:13,APPLE_PAY,CAPTURED,5791.07,GBP,TXN-B002-000000126276,2026-09-03 13:34:13,2026-09-03 13:34:13
SRC_PAYMENT_B002_000000035,PAY0000126277,O000120861,C0018624,2026-09-01 12:50:33,CARD,CAPTURED,2884.18,GBP,TXN-B002-000000126277,2026-09-01 12:50:33,2026-09-01 12:50:33
SRC_PAYMENT_B002_000000036,PAY0000126278,O000120862,C0042750,2026-09-02 23:13:18,CARD,CAPTURED,3249.23,GBP,TXN-B002-000000126278,2026-09-02 23:13:18,2026-09-02 23:13:18
SRC_PAYMENT_B002_000000037,PAY0000126279,O000120863,C0008406,2026-09-01 10:29:10,CARD,CAPTURED,3234.79,GBP,TXN-B002-000000126279,2026-09-01 10:29:10,2026-09-01 10:29:10
SRC_PAYMENT_B002_000000038,PAY0000126280,O000120864,C0019746,2026-09-03 00:38:44,CARD,CAPTURED,3085.45,GBP,TXN-B002-000000126280,2026-09-03 00:38:44,2026-09-03 00:38:44
SRC_PAYMENT_B002_000000039,PAY0000126281,O000120865,C0011705,2026-09-01 17:03:49,CARD,CAPTURED,4418.60,GBP,TXN-B002-000000126281,2026-09-01 17:03:49,2026-09-01 17:03:49
SRC_PAYMENT_B002_000000040,PAY0000126282,O000120866,C0007080,2026-09-02 18:09:01,CARD,CAPTURED,5209.41,GBP,TXN-B002-000000126282,2026-09-02 18:09:01,2026-09-02 18:09:01
SRC_PAYMENT_B002_000000041,PAY0000126283,O000120867,C0014018,2026-09-01 14:04:33,PAYPAL,CAPTURED,6633.56,GBP,TXN-B002-000000126283,2026-09-01 14:04:33,2026-09-01 14:04:33
SRC_PAYMENT_B002_000000042,PAY0000126284,O000120868,C0038083,2026-09-02 18:13:28,PAYPAL,CAPTURED,6756.81,GBP,TXN-B002-000000126284,2026-09-02 18:13:28,2026-09-02 18:13:28
SRC_PAYMENT_B002_000000043,PAY0000126285,O000120869,C0042121,2026-09-01 10:00:36,CARD,CAPTURED,70.42,GBP,TXN-B002-000000126285,2026-09-01 10:00:36,2026-09-01 10:00:36
SRC_PAYMENT_B002_000000044,PAY0000126286,O000120870,C0039498,2026-09-03 23:59:22,CARD,CAPTURED,5621.55,GBP,TXN-B002-000000126286,2026-09-03 23:59:22,2026-09-03 23:59:22
SRC_PAYMENT_B002_000000045,PAY0000126287,O000120871,C0050132,2026-09-02 19:12:27,APPLE_PAY,CAPTURED,2273.64,GBP,TXN-B002-000000126287,2026-09-02 19:12:27,2026-09-02 19:12:27
SRC_PAYMENT_B002_000000046,PAY0000126288,O000120872,C0020250,2026-09-03 20:09:24,BANK_TRANSFER,CAPTURED,3262.19,GBP,TXN-B002-000000126288,2026-09-03 20:09:24,2026-09-03 20:09:24
SRC_PAYMENT_B002_000000047,PAY0000126289,O000120873,C0001977,2026-09-01 23:55:06,PAYPAL,CAPTURED,788.50,GBP,TXN-B002-000000126289,2026-09-01 23:55:06,2026-09-01 23:55:06
SRC_PAYMENT_B002_000000048,PAY0000126290,O000120875,C0022307,2026-09-02 05:18:18,CARD,CAPTURED,1600.13,GBP,TXN-B002-000000126290,2026-09-02 05:18:18,2026-09-02 05:18:18
SRC_PAYMENT_B002_000000049,PAY0000126291,O000120876,C0029413,2026-09-03 01:13:38,GIFT_CARD,CAPTURED,403.14,GBP,TXN-B002-000000126291,2026-09-03 01:13:38,2026-09-03 01:13:38
SRC_PAYMENT_B002_000000050,PAY0000126292,O000120877,C0048961,2026-09-01 10:17:56,BANK_TRANSFER,CAPTURED,2018.14,GBP,TXN-B002-000000126292,2026-09-01 10:17:56,2026-09-01 10:17:56
SRC_PAYMENT_B002_000000051,PAY0000126293,O000120878,C0001125,2026-09-01 15:09:22,CARD,CAPTURED,6137.21,GBP,TXN-B002-000000126293,2026-09-01 15:09:22,2026-09-01 15:09:22
SRC_PAYMENT_B002_000000052,PAY0000126294,O000120879,C0005823,2026-09-01 12:59:34,CARD,CAPTURED,1104.66,GBP,TXN-B002-000000126294,2026-09-01 12:59:34,2026-09-01 12:59:34
SRC_PAYMENT_B002_000000053,PAY0000126295,O000120880,C0015772,2026-09-03 05:41:26,GIFT_CARD,CAPTURED,1967.00,GBP,TXN-B002-000000126295,2026-09-03 05:41:26,2026-09-03 05:41:26
SRC_PAYMENT_B002_000000054,PAY0000126296,O000120881,C0004404,2026-09-03 17:12:16,CARD,CAPTURED,8774.39,GBP,TXN-B002-000000126296,2026-09-03 17:12:16,2026-09-03 17:12:16
SRC_PAYMENT_B002_000000055,PAY0000126297,O000120884,C0010151,2026-09-03 09:03:49,CARD,CAPTURED,1025.71,GBP,TXN-B002-000000126297,2026-09-03 09:03:49,2026-09-03 09:03:49
SRC_PAYMENT_B002_000000056,PAY0000126298,O000120885,C0022202,2026-09-03 16:58:17,CARD,CAPTURED,1071.50,GBP,TXN-B002-000000126298,2026-09-03 16:58:17,2026-09-03 16:58:17
SRC_PAYMENT_B002_000000057,PAY0000126299,O000120886,C0049326,2026-09-02 13:10:57,CARD,CAPTURED,3751.13,GBP,TXN-B002-000000126299,2026-09-02 13:10:57,2026-09-02 13:10:57
SRC_PAYMENT_B002_000000058,PAY0000126300,O000120887,C0012743,2026-09-03 07:27:39,CARD,CAPTURED,1532.54,GBP,TXN-B002-000000126300,2026-09-03 07:27:39,2026-09-03 07:27:39
SRC_PAYMENT_B002_000000059,PAY0000126301,O000120889,C0020078,2026-09-03 02:42:50,CARD,CAPTURED,2040.65,GBP,TXN-B002-000000126301,2026-09-03 02:42:50,2026-09-03 02:42:50
SRC_PAYMENT_B002_000000060,PAY0000126302,O000120890,C0031946,2026-09-01 15:46:53,PAYPAL,CAPTURED,156.14,GBP,TXN-B002-000000126302,2026-09-01 15:46:53,2026-09-01 15:46:53
SRC_PAYMENT_B002_000000061,PAY0000126303,O000120891,C0011860,2026-09-01 16:40:40,CARD,CAPTURED,3602.74,GBP,TXN-B002-000000126303,2026-09-01 16:40:40,2026-09-01 16:40:40
SRC_PAYMENT_B002_000000062,PAY0000126304,O000120892,C0049501,2026-09-03 22:31:30,CARD,CAPTURED,3391.03,GBP,TXN-B002-000000126304,2026-09-03 22:31:30,2026-09-03 22:31:30
SRC_PAYMENT_B002_000000063,PAY0000126305,O000120893,C0045836,2026-09-03 01:32:58,CARD,CAPTURED,250.70,GBP,TXN-B002-000000126305,2026-09-03 01:32:58,2026-09-03 01:32:58
SRC_PAYMENT_B002_000000064,PAY0000126306,O000120894,C0000775,2026-09-03 20:12:31,PAYPAL,CAPTURED,2796.52,GBP,TXN-B002-000000126306,2026-09-03 20:12:31,2026-09-03 20:12:31
SRC_PAYMENT_B002_000000065,PAY0000126307,O000120895,C0043161,2026-09-03 05:08:19,CARD,CAPTURED,593.70,GBP,TXN-B002-000000126307,2026-09-03 05:08:19,2026-09-03 05:08:19
SRC_PAYMENT_B002_000000066,PAY0000126308,O000120896,C0043717,2026-09-03 07:59:03,CARD,CAPTURED,3066.75,GBP,TXN-B002-000000126308,2026-09-03 07:59:03,2026-09-03 07:59:03
SRC_PAYMENT_B002_000000067,PAY0000126309,O000120897,C0035092,2026-09-01 11:51:52,CARD,CAPTURED,2671.17,GBP,TXN-B002-000000126309,2026-09-01 11:51:52,2026-09-01 11:51:52
SRC_PAYMENT_B002_000000068,PAY0000126310,O000120898,C0000233,2026-09-02 05:44:26,GIFT_CARD,CAPTURED,7116.81,GBP,TXN-B002-000000126310,2026-09-02 05:44:26,2026-09-02 05:44:26
SRC_PAYMENT_B002_000000069,PAY0000126311,O000120899,C0040428,2026-09-03 09:14:39,GIFT_CARD,CAPTURED,368.90,GBP,TXN-B002-000000126311,2026-09-03 09:14:39,2026-09-03 09:14:39
SRC_PAYMENT_B002_000000070,PAY0000126312,O000120900,C0047536,2026-09-01 18:34:45,CARD,CAPTURED,2141.30,GBP,TXN-B002-000000126312,2026-09-01 18:34:45,2026-09-01 18:34:45
SRC_PAYMENT_B002_000000071,PAY0000126313,O000120901,C0003116,2026-09-02 08:59:57,GIFT_CARD,CAPTURED,2770.56,GBP,TXN-B002-000000126313,2026-09-02 08:59:57,2026-09-02 08:59:57
SRC_PAYMENT_B002_000000072,PAY0000126314,O000120902,C0034547,2026-09-03 08:18:30,GIFT_CARD,CAPTURED,2254.49,GBP,TXN-B002-000000126314,2026-09-03 08:18:30,2026-09-03 08:18:30
SRC_PAYMENT_B002_000000073,PAY0000126315,O000120903,C0050105,2026-09-03 13:20:33,CARD,CAPTURED,1529.90,GBP,TXN-B002-000000126315,2026-09-03 13:20:33,2026-09-03 13:20:33
SRC_PAYMENT_B002_000000074,PAY0000126316,O000120904,C0033510,2026-09-02 14:47:27,CARD,CAPTURED,401.64,GBP,TXN-B002-000000126316,2026-09-02 14:47:27,2026-09-02 14:47:27
SRC_PAYMENT_B002_000000075,PAY0000126317,O000120905,C0010925,2026-09-02 15:22:41,CARD,CAPTURED,4184.76,GBP,TXN-B002-000000126317,2026-09-02 15:22:41,2026-09-02 15:22:41
SRC_PAYMENT_B002_000000076,PAY0000126318,O000120906,C0009838,2026-09-03 07:24:29,GIFT_CARD,CAPTURED,2772.63,GBP,TXN-B002-000000126318,2026-09-03 07:24:29,2026-09-03 07:24:29
SRC_PAYMENT_B002_000000077,PAY0000126319,O000120907,C0012225,2026-09-02 04:33:57,CARD,CAPTURED,1394.44,GBP,TXN-B002-000000126319,2026-09-02 04:33:57,2026-09-02 04:33:57
SRC_PAYMENT_B002_000000078,PAY0000126320,O000120908,C0015235,2026-09-01 12:14:52,BANK_TRANSFER,CAPTURED,1850.58,GBP,TXN-B002-000000126320,2026-09-01 12:14:52,2026-09-01 12:14:52
SRC_PAYMENT_B002_000000079,PAY0000126321,O000120910,C0007923,2026-09-02 05:51:19,CARD,CAPTURED,3925.44,GBP,TXN-B002-000000126321,2026-09-02 05:51:19,2026-09-02 05:51:19
SRC_PAYMENT_B002_000000080,PAY0000126322,O000120911,C0030667,2026-09-03 12:07:58,PAYPAL,CAPTURED,2575.30,GBP,TXN-B002-000000126322,2026-09-03 12:07:58,2026-09-03 12:07:58
SRC_PAYMENT_B002_000000081,PAY0000126323,O000120912,C0031732,2026-09-03 07:10:39,GIFT_CARD,CAPTURED,124.12,GBP,TXN-B002-000000126323,2026-09-03 07:10:39,2026-09-03 07:10:39
SRC_PAYMENT_B002_000000082,PAY0000126324,O000120913,C0014733,2026-09-02 18:08:11,APPLE_PAY,CAPTURED,2619.40,GBP,TXN-B002-000000126324,2026-09-02 18:08:11,2026-09-02 18:08:11
SRC_PAYMENT_B002_000000083,PAY0000126325,O000120914,C0010024,2026-09-02 06:19:46,PAYPAL,CAPTURED,614.27,GBP,TXN-B002-000000126325,2026-09-02 06:19:46,2026-09-02 06:19:46
SRC_PAYMENT_B002_000000084,PAY0000126326,O000120915,C0000371,2026-09-03 23:09:19,CARD,CAPTURED,1580.21,GBP,TXN-B002-000000126326,2026-09-03 23:09:19,2026-09-03 23:09:19
SRC_PAYMENT_B002_000000085,PAY0000126327,O000120916,C0010297,2026-09-01 06:59:02,CARD,CAPTURED,6863.30,GBP,TXN-B002-000000126327,2026-09-01 06:59:02,2026-09-01 06:59:02
SRC_PAYMENT_B002_000000086,PAY0000126328,O000120917,C0047598,2026-09-02 03:04:59,CARD,CAPTURED,2984.96,GBP,TXN-B002-000000126328,2026-09-02 03:04:59,2026-09-02 03:04:59
SRC_PAYMENT_B002_000000087,PAY0000126329,O000120919,C0004898,2026-09-01 06:51:50,APPLE_PAY,CAPTURED,3266.90,GBP,TXN-B002-000000126329,2026-09-01 06:51:50,2026-09-01 06:51:50
SRC_PAYMENT_B002_000000088,PAY0000126330,O000120920,C0003644,2026-09-03 14:56:36,CARD,CAPTURED,3047.61,GBP,TXN-B002-000000126330,2026-09-03 14:56:36,2026-09-03 14:56:36
SRC_PAYMENT_B002_000000089,PAY0000126331,O000120921,C0049340,2026-09-02 12:22:18,CARD,CAPTURED,10.08,GBP,TXN-B002-000000126331,2026-09-02 12:22:18,2026-09-02 12:22:18
SRC_PAYMENT_B002_000000090,PAY0000126332,O000120925,C0047343,2026-09-03 20:35:26,GIFT_CARD,CAPTURED,124.12,GBP,TXN-B002-000000126332,2026-09-03 20:35:26,2026-09-03 20:35:26
SRC_PAYMENT_B002_000000091,PAY0000126333,O000120926,C0044289,2026-09-03 09:41:09,CARD,CAPTURED,3268.55,GBP,TXN-B002-000000126333,2026-09-03 09:41:09,2026-09-03 09:41:09
SRC_PAYMENT_B002_000000092,PAY0000126334,O000120927,C0035879,2026-09-02 23:51:36,CARD,CAPTURED,1564.28,GBP,TXN-B002-000000126334,2026-09-02 23:51:36,2026-09-02 23:51:36
SRC_PAYMENT_B002_000000093,PAY0000126335,O000120928,C0046012,2026-09-03 15:22:43,CARD,CAPTURED,2911.68,GBP,TXN-B002-000000126335,2026-09-03 15:22:43,2026-09-03 15:22:43
SRC_PAYMENT_B002_000000094,PAY0000126336,O000120929,C0006576,2026-09-02 12:15:53,CARD,CAPTURED,2024.61,GBP,TXN-B002-000000126336,2026-09-02 12:15:53,2026-09-02 12:15:53
SRC_PAYMENT_B002_000000095,PAY0000126337,O000120930,C0049438,2026-09-03 06:02:52,GIFT_CARD,CAPTURED,1085.68,GBP,TXN-B002-000000126337,2026-09-03 06:02:52,2026-09-03 06:02:52
SRC_PAYMENT_B002_000000096,PAY0000126338,O000120931,C0010287,2026-09-03 18:59:44,CARD,CAPTURED,2548.12,GBP,TXN-B002-000000126338,2026-09-03 18:59:44,2026-09-03 18:59:44
SRC_PAYMENT_B002_000000097,PAY0000126339,O000120932,C0023236,2026-09-01 14:44:18,PAYPAL,CAPTURED,742.70,GBP,TXN-B002-000000126339,2026-09-01 14:44:18,2026-09-01 14:44:18
SRC_PAYMENT_B002_000000098,PAY0000126340,O000120933,C0037559,2026-09-03 14:14:08,GIFT_CARD,CAPTURED,3132.32,GBP,TXN-B002-000000126340,2026-09-03 14:14:08,2026-09-03 14:14:08
SRC_PAYMENT_B002_000000099,PAY0000126341,O000120934,C0014915,2026-09-02 15:12:31,CARD,CAPTURED,196.90,GBP,TXN-B002-000000126341,2026-09-02 15:12:31,2026-09-02 15:12:31
SRC_PAYMENT_B002_000000100,PAY0000126342,O000120935,C0037791,2026-09-03 23:53:45,APPLE_PAY,CAPTURED,1260.08,GBP,TXN-B002-000000126342,2026-09-03 23:53:45,2026-09-03 23:53:45
SRC_PAYMENT_B002_000000101,PAY0000126343,O000120936,C0024524,2026-09-03 16:06:06,CARD,CAPTURED,3228.30,GBP,TXN-B002-000000126343,2026-09-03 16:06:06,2026-09-03 16:06:06
SRC_PAYMENT_B002_000000102,PAY0000126344,O000120937,C0038075,2026-09-03 12:06:12,CARD,CAPTURED,2162.38,GBP,TXN-B002-000000126344,2026-09-03 12:06:12,2026-09-03 12:06:12
SRC_PAYMENT_B002_000000103,PAY0000126345,O000120938,C0009983,2026-09-02 12:54:40,APPLE_PAY,CAPTURED,1645.05,GBP,TXN-B002-000000126345,2026-09-02 12:54:40,2026-09-02 12:54:40
SRC_PAYMENT_B002_000000104,PAY0000126346,O000120939,C0019137,2026-09-03 18:43:08,CARD,CAPTURED,631.65,GBP,TXN-B002-000000126346,2026-09-03 18:43:08,2026-09-03 18:43:08
SRC_PAYMENT_B002_000000105,PAY0000126347,O000120941,C0045920,2026-09-02 20:26:25,APPLE_PAY,CAPTURED,823.46,GBP,TXN-B002-000000126347,2026-09-02 20:26:25,2026-09-02 20:26:25
SRC_PAYMENT_B002_000000106,PAY0000126348,O000120942,C0043648,2026-09-03 18:09:52,CARD,CAPTURED,7931.57,GBP,TXN-B002-000000126348,2026-09-03 18:09:52,2026-09-03 18:09:52
SRC_PAYMENT_B002_000000107,PAY0000126349,O000120943,C0028330,2026-09-02 22:22:31,PAYPAL,CAPTURED,2238.47,GBP,TXN-B002-000000126349,2026-09-02 22:22:31,2026-09-02 22:22:31
SRC_PAYMENT_B002_000000108,PAY0000126350,O000120944,C0030552,2026-09-01 17:21:30,GIFT_CARD,CAPTURED,5532.29,GBP,TXN-B002-000000126350,2026-09-01 17:21:30,2026-09-01 17:21:30
SRC_PAYMENT_B002_000000109,PAY0000126351,O000120945,C0007921,2026-09-03 20:23:16,PAYPAL,CAPTURED,1378.46,GBP,TXN-B002-000000126351,2026-09-03 20:23:16,2026-09-03 20:23:16
SRC_PAYMENT_B002_000000110,PAY0000126352,O000120946,C0032860,2026-09-01 16:11:21,PAYPAL,CAPTURED,3899.83,GBP,TXN-B002-000000126352,2026-09-01 16:11:21,2026-09-01 16:11:21
SRC_PAYMENT_B002_000000111,PAY0000126353,O000120948,C0000789,2026-09-03 20:04:20,CARD,CAPTURED,6807.66,GBP,TXN-B002-000000126353,2026-09-03 20:04:20,2026-09-03 20:04:20
SRC_PAYMENT_B002_000000112,PAY0000126354,O000120949,C0034378,2026-09-01 12:59:58,BANK_TRANSFER,CAPTURED,2969.21,GBP,TXN-B002-000000126354,2026-09-01 12:59:58,2026-09-01 12:59:58
SRC_PAYMENT_B002_000000113,PAY0000126355,O000120950,C0017191,2026-09-03 06:11:56,CARD,CAPTURED,1463.97,GBP,TXN-B002-000000126355,2026-09-03 06:11:56,2026-09-03 06:11:56
SRC_PAYMENT_B002_000000114,PAY0000126356,O000120951,C0004343,2026-09-01 09:42:23,BANK_TRANSFER,CAPTURED,3018.40,GBP,TXN-B002-000000126356,2026-09-01 09:42:23,2026-09-01 09:42:23
SRC_PAYMENT_B002_000000115,PAY0000126357,O000120952,C0032843,2026-09-02 18:02:31,GIFT_CARD,CAPTURED,669.86,GBP,TXN-B002-000000126357,2026-09-02 18:02:31,2026-09-02 18:02:31
SRC_PAYMENT_B002_000000116,PAY0000126358,O000120953,C0034927,2026-09-02 04:13:25,CARD,CAPTURED,1718.03,GBP,TXN-B002-000000126358,2026-09-02 04:13:25,2026-09-02 04:13:25
SRC_PAYMENT_B002_000000117,PAY0000126359,O000120954,C0034080,2026-09-01 15:51:01,CARD,CAPTURED,1039.47,GBP,TXN-B002-000000126359,2026-09-01 15:51:01,2026-09-01 15:51:01
SRC_PAYMENT_B002_000000118,PAY0000126360,O000120955,C0004998,2026-09-01 08:35:10,CARD,CAPTURED,3235.06,GBP,TXN-B002-000000126360,2026-09-01 08:35:10,2026-09-01 08:35:10
SRC_PAYMENT_B002_000000119,PAY0000126361,O000120956,C0005333,2026-09-03 23:47:44,BANK_TRANSFER,CAPTURED,767.59,GBP,TXN-B002-000000126361,2026-09-03 23:47:44,2026-09-03 23:47:44
SRC_PAYMENT_B002_000000120,PAY0000126362,O000120957,C0008345,2026-09-03 14:16:16,CARD,CAPTURED,1815.46,GBP,TXN-B002-000000126362,2026-09-03 14:16:16,2026-09-03 14:16:16
SRC_PAYMENT_B002_000000121,PAY0000126363,O000120958,C0033497,2026-09-02 08:34:52,PAYPAL,CAPTURED,1821.46,GBP,TXN-B002-000000126363,2026-09-02 08:34:52,2026-09-02 08:34:52
SRC_PAYMENT_B002_000000122,PAY0000126364,O000120959,C0018837,2026-09-03 17:04:26,CARD,CAPTURED,2709.41,GBP,TXN-B002-000000126364,2026-09-03 17:04:26,2026-09-03 17:04:26
SRC_PAYMENT_B002_000000123,PAY0000126365,O000120960,C0026297,2026-09-02 16:43:44,PAYPAL,CAPTURED,3751.38,GBP,TXN-B002-000000126365,2026-09-02 16:43:44,2026-09-02 16:43:44
SRC_PAYMENT_B002_000000124,PAY0000126366,O000120961,C0040134,2026-09-01 23:32:21,CARD,CAPTURED,1567.78,GBP,TXN-B002-000000126366,2026-09-01 23:32:21,2026-09-01 23:32:21
SRC_PAYMENT_B002_000000125,PAY0000126367,O000120962,C0038573,2026-09-01 19:00:57,APPLE_PAY,CAPTURED,3058.05,GBP,TXN-B002-000000126367,2026-09-01 19:00:57,2026-09-01 19:00:57
SRC_PAYMENT_B002_000000126,PAY0000126368,O000120963,C0001711,2026-09-03 13:57:34,PAYPAL,CAPTURED,5751.03,GBP,TXN-B002-000000126368,2026-09-03 13:57:34,2026-09-03 13:57:34
SRC_PAYMENT_B002_000000127,PAY0000126369,O000120964,C0006642,2026-09-01 18:01:30,GIFT_CARD,CAPTURED,362.41,GBP,TXN-B002-000000126369,2026-09-01 18:01:30,2026-09-01 18:01:30
