source_record_id,product_category_id,product_id,category_id,is_primary,active_from,active_to,created_at,updated_at
SRC_PRODUCT_CATEGORY_B002_000000042,PC00000760,P000502,CAT0020,Y,2026-09-02,,2026-09-02 11:02:42,2026-09-02 11:02:42
SRC_PRODUCT_CATEGORY_B002_000000043,PC00000761,P000503,CAT0031,Y,2026-09-02,,2026-09-02 06:56:21,2026-09-02 06:56:21
SRC_PRODUCT_CATEGORY_B002_000000044,PC00000762,P000503,CAT0021,N,2026-09-02,,2026-09-02 06:56:21,2026-09-02 06:56:21
SRC_PRODUCT_CATEGORY_B002_000000045,PC00000763,P000504,CAT0035,Y,2026-09-03,,2026-09-03 22:41:03,2026-09-03 22:41:03
SRC_PRODUCT_CATEGORY_B002_000000046,PC00000764,P000505,CAT0008,Y,2026-09-02,,2026-09-02 06:58:11,2026-09-02 06:58:11
SRC_PRODUCT_CATEGORY_B002_000000047,PC00000765,P000506,CAT0032,Y,2026-09-02,,2026-09-02 09:35:58,2026-09-02 09:35:58
SRC_PRODUCT_CATEGORY_B002_000000048,PC00000766,P000507,CAT0032,Y,2026-09-01,,2026-09-01 09:47:51,2026-09-01 09:47:51
SRC_PRODUCT_CATEGORY_B002_000000049,PC00000767,P000508,CAT0033,Y,2026-09-02,,2026-09-02 06:12:50,2026-09-02 06:12:50
SRC_PRODUCT_CATEGORY_B002_000000050,PC00000768,P000509,CAT0008,Y,2026-09-01,,2026-09-01 01:37:17,2026-09-01 01:37:17
SRC_PRODUCT_CATEGORY_B002_000000051,PC00000769,P000510,CAT0025,Y,2026-09-03,,2026-09-03 21:25:25,2026-09-03 21:25:25
SRC_PRODUCT_CATEGORY_B002_000000052,PC00000770,P000511,CAT0021,Y,2026-09-01,,2026-09-01 01:54:24,2026-09-01 01:54:24
SRC_PRODUCT_CATEGORY_B002_000000053,PC00000771,P000511,CAT0030,N,2026-09-01,,2026-09-01 01:54:24,2026-09-01 01:54:24
SRC_PRODUCT_CATEGORY_B002_000000054,PC00000772,P000512,CAT0019,Y,2026-09-03,,2026-09-03 17:07:24,2026-09-03 17:07:24
SRC_PRODUCT_CATEGORY_B002_000000055,PC00000773,P000513,CAT0018,Y,2026-09-02,,2026-09-02 10:18:12,2026-09-02 10:18:12
SRC_PRODUCT_CATEGORY_B002_000000056,PC00000774,P000513,CAT0013,N,2026-09-02,,2026-09-02 10:18:12,2026-09-02 10:18:12
SRC_PRODUCT_CATEGORY_B002_000000057,PC00000775,P000514,CAT0030,Y,2026-09-01,,2026-09-01 00:25:22,2026-09-01 00:25:22
SRC_PRODUCT_CATEGORY_B002_000000058,PC00000776,P000515,CAT0008,Y,2026-09-02,,2026-09-02 10:13:12,2026-09-02 10:13:12
SRC_PRODUCT_CATEGORY_B002_000000059,PC00000777,P000515,CAT0031,N,2026-09-02,,2026-09-02 10:13:12,2026-09-02 10:13:12
SRC_PRODUCT_CATEGORY_B002_000000060,PC00000778,P000516,CAT0013,Y,2026-09-02,,2026-09-02 15:27:44,2026-09-02 15:27:44
SRC_PRODUCT_CATEGORY_B002_000000061,PC00000779,P000517,CAT0008,Y,2026-09-01,,2026-09-01 17:27:13,2026-09-01 17:27:13
SRC_PRODUCT_CATEGORY_B002_000000062,PC00000780,P000518,CAT0009,Y,2026-09-01,,2026-09-01 03:33:52,2026-09-01 03:33:52
SRC_PRODUCT_CATEGORY_B002_000000063,PC00000781,P000518,CAT0016,N,2026-09-01,,2026-09-01 03:33:52,2026-09-01 03:33:52
SRC_PRODUCT_CATEGORY_B002_000000064,PC00000782,P000519,CAT0019,Y,2026-09-01,,2026-09-01 15:32:00,2026-09-01 15:32:00
SRC_PRODUCT_CATEGORY_B002_000000065,PC00000783,P000520,CAT0013,Y,2026-09-03,,2026-09-03 00:29:47,2026-09-03 00:29:47
SRC_PRODUCT_CATEGORY_B002_000000066,PC00000784,P000521,CAT0009,Y,2026-09-02,,2026-09-02 14:03:36,2026-09-02 14:03:36
SRC_PRODUCT_CATEGORY_B002_000000067,PC00000785,P000522,CAT0022,Y,2026-09-01,,2026-09-01 08:27:19,2026-09-01 08:27:19
SRC_PRODUCT_CATEGORY_B002_000000068,PC00000786,P000523,CAT0018,Y,2026-09-02,,2026-09-02 06:26:43,2026-09-02 06:26:43
SRC_PRODUCT_CATEGORY_B002_000000069,PC00000787,P000524,CAT0027,Y,2026-09-02,,2026-09-02 07:46:12,2026-09-02 07:46:12
SRC_PRODUCT_CATEGORY_B002_000000070,PC00000788,P000524,CAT0022,N,2026-09-02,,2026-09-02 07:46:12,2026-09-02 07:46:12
SRC_PRODUCT_CATEGORY_B002_000000071,PC00000789,P000525,CAT0035,Y,2026-09-02,,2026-09-02 14:23:52,2026-09-02 14:23:52
SRC_PRODUCT_CATEGORY_B002_000000072,PC00000790,P000526,CAT0028,Y,2026-09-01,,2026-09-01 11:26:50,2026-09-01 11:26:50
SRC_PRODUCT_CATEGORY_B002_000000073,PC00000791,P000526,CAT0017,N,2026-09-01,,2026-09-01 11:26:50,2026-09-01 11:26:50
SRC_PRODUCT_CATEGORY_B002_000000074,PC00000792,P000526,CAT0025,N,2026-09-01,,2026-09-01 11:26:50,2026-09-01 11:26:50
SRC_PRODUCT_CATEGORY_B002_000000075,PC00000793,P000527,CAT0007,Y,2026-09-01,,2026-09-01 17:28:32,2026-09-01 17:28:32
SRC_PRODUCT_CATEGORY_B002_000000076,PC00000794,P000528,CAT0023,Y,2026-09-02,,2026-09-02 23:42:53,2026-09-02 23:42:53
SRC_PRODUCT_CATEGORY_B002_000000077,PC00000795,P000528,CAT0010,N,2026-09-02,,2026-09-02 23:42:53,2026-09-02 23:42:53
SRC_PRODUCT_CATEGORY_B002_000000078,PC00000796,P000528,CAT0024,N,2026-09-02,,2026-09-02 23:42:53,2026-09-02 23:42:53
SRC_PRODUCT_CATEGORY_B002_000000079,PC00000797,P000529,CAT0027,Y,2026-09-03,,2026-09-03 15:35:32,2026-09-03 15:35:32
SRC_PRODUCT_CATEGORY_B002_000000080,PC00000798,P000529,CAT0016,N,2026-09-03,,2026-09-03 15:35:32,2026-09-03 15:35:32
SRC_PRODUCT_CATEGORY_B002_000000081,PC00000799,P000530,CAT0033,Y,2026-09-02,,2026-09-02 01:45:41,2026-09-02 01:45:41
SRC_PRODUCT_CATEGORY_B002_000000082,PC00000800,P000531,CAT0014,Y,2026-09-01,,2026-09-01 19:54:05,2026-09-01 19:54:05
SRC_PRODUCT_CATEGORY_B002_000000083,PC00000801,P000532,CAT0013,Y,2026-09-01,,2026-09-01 12:52:57,2026-09-01 12:52:57
SRC_PRODUCT_CATEGORY_B002_000000084,PC00000802,P000532,CAT0014,N,2026-09-01,,2026-09-01 12:52:57,2026-09-01 12:52:57
SRC_PRODUCT_CATEGORY_B002_000000085,PC00000803,P000532,CAT0026,N,2026-09-01,,2026-09-01 12:52:57,2026-09-01 12:52:57
SRC_PRODUCT_CATEGORY_B002_000000086,PC00000804,P000533,CAT0023,Y,2026-09-01,,2026-09-01 02:29:38,2026-09-01 02:29:38
SRC_PRODUCT_CATEGORY_B002_000000087,PC00000805,P000534,CAT0030,Y,2026-09-02,,2026-09-02 09:53:15,2026-09-02 09:53:15
SRC_PRODUCT_CATEGORY_B002_000000088,PC00000806,P000534,CAT0024,N,2026-09-02,,2026-09-02 09:53:15,2026-09-02 09:53:15
SRC_PRODUCT_CATEGORY_B002_000000089,PC00000807,P000535,CAT0016,Y,2026-09-02,,2026-09-02 12:43:37,2026-09-02 12:43:37
SRC_PRODUCT_CATEGORY_B002_000000090,PC00000808,P000535,CAT0009,N,2026-09-02,,2026-09-02 12:43:37,2026-09-02 12:43:37
SRC_PRODUCT_CATEGORY_B002_000000091,PC00000809,P000536,CAT0012,Y,2026-09-02,,2026-09-02 10:35:58,2026-09-02 10:35:58
SRC_PRODUCT_CATEGORY_B002_000000092,PC00000810,P000537,CAT0029,Y,2026-09-01,,2026-09-01 19:22:29,2026-09-01 19:22:29
SRC_PRODUCT_CATEGORY_B002_000000093,PC00000811,P000537,CAT0014,N,2026-09-01,,2026-09-01 19:22:29,2026-09-01 19:22:29
SRC_PRODUCT_CATEGORY_B002_000000094,PC00000812,P000538,CAT0031,Y,2026-09-01,,2026-09-01 14:05:23,2026-09-01 14:05:23
SRC_PRODUCT_CATEGORY_B002_000000095,PC00000813,P000538,CAT0009,N,2026-09-01,,2026-09-01 14:05:23,2026-09-01 14:05:23
SRC_PRODUCT_CATEGORY_B002_000000096,PC00000814,P000539,CAT0025,Y,2026-09-02,,2026-09-02 03:56:18,2026-09-02 03:56:18
SRC_PRODUCT_CATEGORY_B002_000000097,PC00000815,P000540,CAT0031,Y,2026-09-01,,2026-09-01 20:29:36,2026-09-01 20:29:36
SRC_PRODUCT_CATEGORY_B002_000000098,PC00000816,P000541,CAT0032,Y,2026-09-03,,2026-09-03 10:38:45,2026-09-03 10:38:45
SRC_PRODUCT_CATEGORY_B002_000000099,PC00000817,P000542,CAT0020,Y,2026-09-02,,2026-09-02 23:47:14,2026-09-02 23:47:14
SRC_PRODUCT_CATEGORY_B002_000000100,PC00000818,P000542,CAT0015,N,2026-09-02,,2026-09-02 23:47:14,2026-09-02 23:47:14
SRC_PRODUCT_CATEGORY_B002_000000101,PC00000819,P000543,CAT0031,Y,2026-09-03,,2026-09-03 14:07:50,2026-09-03 14:07:50
SRC_PRODUCT_CATEGORY_B002_000000102,PC00000820,P000544,CAT0015,Y,2026-09-01,,2026-09-01 19:00:24,2026-09-01 19:00:24
SRC_PRODUCT_CATEGORY_B002_000000103,PC00000821,P000544,CAT0029,N,2026-09-01,,2026-09-01 19:00:24,2026-09-01 19:00:24
SRC_PRODUCT_CATEGORY_B002_000000104,PC00000822,P000545,CAT0024,Y,2026-09-02,,2026-09-02 06:51:07,2026-09-02 06:51:07
SRC_PRODUCT_CATEGORY_B002_000000105,PC00000823,P000546,CAT0022,Y,2026-09-03,,2026-09-03 04:44:42,2026-09-03 04:44:42
SRC_PRODUCT_CATEGORY_B002_000000106,PC00000824,P000547,CAT0018,Y,2026-09-03,,2026-09-03 14:54:15,2026-09-03 14:54:15
SRC_PRODUCT_CATEGORY_B002_000000107,PC00000825,P000547,CAT0026,N,2026-09-03,,2026-09-03 14:54:15,2026-09-03 14:54:15
SRC_PRODUCT_CATEGORY_B002_000000108,PC00000826,P000547,CAT0028,N,2026-09-03,,2026-09-03 14:54:15,2026-09-03 14:54:15
SRC_PRODUCT_CATEGORY_B002_000000109,PC00000827,P000548,CAT0011,Y,2026-09-02,,2026-09-02 18:04:07,2026-09-02 18:04:07
SRC_PRODUCT_CATEGORY_B002_000000110,PC00000828,P000549,CAT0012,Y,2026-09-01,,2026-09-01 20:57:52,2026-09-01 20:57:52
SRC_PRODUCT_CATEGORY_B002_000000111,PC00000829,P000550,CAT0012,Y,2026-09-01,,2026-09-01 14:35:34,2026-09-01 14:35:34
DEF_PC_ORPHAN_PRODUCT_B002_001,PC_BAD_B002_001,P_DOES_NOT_EXIST,CAT0023,N,2025-04-08,2026-09-01,2025-04-08 06:04:04,2026-09-01 00:00:00
DEF_PC_ORPHAN_CATEGORY_B002_001,PC_BAD_B002_002,P000393,CAT_DOES_NOT_EXIST,N,2024-07-23,2026-09-01,2024-07-23 16:40:45,2026-09-01 00:00:00
