inventory_snapshot_id,snapshot_date,store_id,product_id,supplier_id,on_hand_qty,reserved_qty,available_qty,units_sold_30d,avg_daily_sales,lead_time_days,supplier_reliability,days_of_supply
INV00000023,2025-12-31,S001,P00023,SUP0049,1,0,1,1,0.0333,16,0.829,30.03
INV00000024,2025-12-31,S001,P00024,SUP0015,3,1,2,0,0.0,5,0.991,
INV00000025,2025-12-31,S001,P00025,SUP0040,5,2,3,5,0.1667,11,0.951,18.0
INV00000026,2025-12-31,S001,P00026,SUP0008,1,1,0,1,0.0333,14,0.883,0.0
INV00000027,2025-12-31,S001,P00027,SUP0021,2,0,2,3,0.1,24,0.903,20.0
INV00000028,2025-12-31,S001,P00028,SUP0019,7,6,1,5,0.1667,26,0.868,6.0
INV00000029,2025-12-31,S001,P00029,SUP0035,1,0,1,2,0.0667,20,0.951,14.99
INV00000030,2025-12-31,S001,P00030,SUP0010,9,8,1,11,0.3667,30,0.95,2.73
INV00000031,2025-12-31,S001,P00031,SUP0012,8,5,3,6,0.2,28,0.926,15.0
INV00000032,2025-12-31,S001,P00032,SUP0015,2,0,2,2,0.0667,5,0.991,29.99
INV00000033,2025-12-31,S001,P00033,SUP0038,5,3,2,5,0.1667,21,0.846,12.0
INV00000034,2025-12-31,S001,P00034,SUP0046,2,0,2,2,0.0667,5,0.844,29.99
INV00000035,2025-12-31,S001,P00035,SUP0025,2,1,1,2,0.0667,24,0.983,14.99
INV00000036,2025-12-31,S001,P00036,SUP0044,3,0,3,6,0.2,29,0.972,15.0
INV00000037,2025-12-31,S001,P00037,SUP0033,1,1,0,1,0.0333,10,0.948,0.0
INV00000038,2025-12-31,S001,P00038,SUP0028,5,1,4,8,0.2667,3,0.981,15.0
INV00000039,2025-12-31,S001,P00039,SUP0016,4,0,4,4,0.1333,29,0.922,30.01
INV00000040,2025-12-31,S001,P00040,SUP0024,1,1,0,1,0.0333,23,0.912,0.0
INV00000041,2025-12-31,S001,P00041,SUP0029,1,1,0,3,0.1,6,0.9,0.0
INV00000042,2025-12-31,S001,P00042,SUP0022,7,4,3,5,0.1667,16,0.819,18.0
INV00000043,2025-12-31,S001,P00043,SUP0035,7,4,3,12,0.4,20,0.951,7.5
INV00000044,2025-12-31,S001,P00044,SUP0044,2,0,2,2,0.0667,29,0.972,29.99
INV00000045,2025-12-31,S001,P00045,SUP0046,3,2,1,3,0.1,5,0.844,10.0
INV00000046,2025-12-31,S001,P00046,SUP0009,8,5,3,8,0.2667,19,0.914,11.25
INV00000047,2025-12-31,S001,P00047,SUP0045,7,3,4,10,0.3333,7,0.847,12.0
INV00000048,2025-12-31,S001,P00048,SUP0008,6,5,1,5,0.1667,14,0.883,6.0
INV00000049,2025-12-31,S001,P00049,SUP0006,3,2,1,6,0.2,12,0.852,5.0
INV00000050,2025-12-31,S001,P00050,SUP0046,8,3,5,6,0.2,5,0.844,25.0
INV00000051,2025-12-31,S001,P00051,SUP0003,4,4,0,3,0.1,14,0.947,0.0
INV00000052,2025-12-31,S001,P00052,SUP0005,3,3,0,6,0.2,4,0.858,0.0
INV00000053,2025-12-31,S001,P00053,SUP0047,14,9,5,10,0.3333,23,0.949,15.0
INV00000054,2025-12-31,S001,P00054,SUP0011,1,0,1,1,0.0333,24,0.81,30.03
INV00000055,2025-12-31,S001,P00055,SUP0048,7,5,2,5,0.1667,25,0.813,12.0
INV00000056,2025-12-31,S001,P00056,SUP0002,2,2,0,4,0.1333,14,0.955,0.0
INV00000057,2025-12-31,S001,P00057,SUP0009,7,6,1,9,0.3,19,0.914,3.33
INV00000058,2025-12-31,S001,P00058,SUP0007,11,3,8,13,0.4333,23,0.822,18.46
INV00000059,2025-12-31,S001,P00059,SUP0042,4,4,0,4,0.1333,25,0.975,0.0
INV00000060,2025-12-31,S001,P00060,SUP0009,10,7,3,7,0.2333,19,0.914,12.86
INV00000061,2025-12-31,S001,P00061,SUP0029,1,1,0,2,0.0667,6,0.9,0.0
INV00000062,2025-12-31,S001,P00062,SUP0019,7,6,1,8,0.2667,26,0.868,3.75
INV00000063,2025-12-31,S001,P00063,SUP0027,6,3,3,9,0.3,22,0.917,10.0
INV00000064,2025-12-31,S001,P00064,SUP0008,9,5,4,8,0.2667,14,0.883,15.0
INV00000065,2025-12-31,S001,P00065,SUP0028,3,1,2,3,0.1,3,0.981,20.0
INV00000066,2025-12-31,S001,P00066,SUP0004,1,0,1,1,0.0333,17,0.948,30.03
INV00000067,2025-12-31,S001,P00067,SUP0032,3,0,3,2,0.0667,2,0.899,44.98
INV00000068,2025-12-31,S001,P00068,SUP0006,7,7,0,11,0.3667,12,0.852,0.0
INV00000069,2025-12-31,S001,P00069,SUP0032,3,0,3,3,0.1,2,0.899,30.0
INV00000070,2025-12-31,S001,P00070,SUP0048,3,0,3,7,0.2333,25,0.813,12.86
INV00000071,2025-12-31,S001,P00071,SUP0036,14,5,9,14,0.4667,20,0.804,19.28
INV00000072,2025-12-31,S001,P00072,SUP0031,3,1,2,2,0.0667,21,0.958,29.99
INV00000073,2025-12-31,S001,P00073,SUP0042,4,1,3,3,0.1,25,0.975,30.0
INV00000074,2025-12-31,S001,P00074,SUP0011,2,0,2,4,0.1333,24,0.81,15.0
INV00000075,2025-12-31,S001,P00075,SUP0001,7,0,7,6,0.2,18,0.967,35.0
INV00000076,2025-12-31,S001,P00076,SUP0030,3,0,3,2,0.0667,11,0.96,44.98
INV00000077,2025-12-31,S001,P00077,SUP0008,6,5,1,11,0.3667,14,0.883,2.73
INV00000078,2025-12-31,S001,P00078,SUP0044,1,1,0,1,0.0333,29,0.972,0.0
INV00000079,2025-12-31,S001,P00079,SUP0045,8,2,6,10,0.3333,7,0.847,18.0
INV00000080,2025-12-31,S001,P00080,SUP0027,1,1,0,2,0.0667,22,0.917,0.0
INV00000081,2025-12-31,S001,P00081,SUP0019,8,4,4,6,0.2,26,0.868,20.0
INV00000082,2025-12-31,S001,P00082,SUP0022,4,0,4,6,0.2,16,0.819,20.0
INV00000083,2025-12-31,S001,P00083,SUP0036,12,1,11,13,0.4333,20,0.804,25.39
INV00000084,2025-12-31,S001,P00084,SUP0035,4,1,3,3,0.1,20,0.951,30.0
INV00000085,2025-12-31,S001,P00085,SUP0028,6,4,2,6,0.2,3,0.981,10.0
INV00000086,2025-12-31,S001,P00086,SUP0004,1,1,0,1,0.0333,17,0.948,0.0
INV00000087,2025-12-31,S001,P00087,SUP0002,3,3,0,5,0.1667,14,0.955,0.0
INV00000088,2025-12-31,S001,P00088,SUP0037,7,6,1,7,0.2333,28,0.809,4.29
INV00000089,2025-12-31,S001,P00089,SUP0013,1,1,0,3,0.1,22,0.804,0.0
INV00000090,2025-12-31,S001,P00090,SUP0001,2,1,1,4,0.1333,18,0.967,7.5
INV00000091,2025-12-31,S001,P00091,SUP0034,10,0,10,7,0.2333,6,0.907,42.86
INV00000092,2025-12-31,S001,P00092,SUP0050,1,1,0,2,0.0667,18,0.945,0.0
INV00000093,2025-12-31,S001,P00093,SUP0021,4,0,4,3,0.1,24,0.903,40.0
INV00000094,2025-12-31,S001,P00094,SUP0008,10,9,1,0,0.0,14,0.883,
INV00000095,2025-12-31,S001,P00095,SUP0002,1,0,1,3,0.1,14,0.955,10.0
INV00000096,2025-12-31,S001,P00096,SUP0026,6,0,6,5,0.1667,4,0.845,35.99
INV00000097,2025-12-31,S001,P00097,SUP0049,3,1,2,4,0.1333,16,0.829,15.0
INV00000098,2025-12-31,S001,P00098,SUP0042,4,4,0,5,0.1667,25,0.975,0.0
INV00000099,2025-12-31,S001,P00099,SUP0021,1,1,0,1,0.0333,24,0.903,0.0
INV00000100,2025-12-31,S001,P00100,SUP0008,3,1,2,4,0.1333,14,0.883,15.0
INV00000101,2025-12-31,S001,P00101,SUP0011,1,1,0,2,0.0667,24,0.81,0.0
INV00000102,2025-12-31,S001,P00102,SUP0044,9,7,2,7,0.2333,29,0.972,8.57
INV00000103,2025-12-31,S001,P00103,SUP0038,1,0,1,1,0.0333,21,0.846,30.03
INV00000104,2025-12-31,S001,P00104,SUP0017,10,0,10,7,0.2333,4,0.858,42.86
INV00000105,2025-12-31,S001,P00105,SUP0047,4,2,2,5,0.1667,23,0.949,12.0
INV00000106,2025-12-31,S001,P00106,SUP0041,4,4,0,4,0.1333,22,0.875,0.0
INV00000107,2025-12-31,S001,P00107,SUP0018,8,3,5,7,0.2333,17,0.888,21.43
INV00000108,2025-12-31,S001,P00108,SUP0032,3,1,2,4,0.1333,2,0.899,15.0
INV00000109,2025-12-31,S001,P00109,SUP0039,2,0,2,2,0.0667,10,0.858,29.99
INV00000110,2025-12-31,S001,P00110,SUP0014,1,1,0,1,0.0333,6,0.872,0.0
INV00000111,2025-12-31,S001,P00111,SUP0033,5,1,4,7,0.2333,10,0.948,17.15
INV00000112,2025-12-31,S001,P00112,SUP0018,4,0,4,3,0.1,17,0.888,40.0
INV00000113,2025-12-31,S001,P00113,SUP0036,15,1,14,11,0.3667,20,0.804,38.18
INV00000114,2025-12-31,S001,P00114,SUP0042,1,0,1,1,0.0333,25,0.975,30.03
INV00000115,2025-12-31,S001,P00115,SUP0020,5,3,2,5,0.1667,23,0.878,12.0
INV00000116,2025-12-31,S001,P00116,SUP0034,5,5,0,7,0.2333,6,0.907,0.0
INV00000117,2025-12-31,S001,P00117,SUP0010,2,0,2,3,0.1,30,0.95,20.0
INV00000118,2025-12-31,S001,P00118,SUP0043,5,3,2,4,0.1333,2,0.829,15.0
INV00000119,2025-12-31,S001,P00119,SUP0029,1,0,1,1,0.0333,6,0.9,30.03
INV00000120,2025-12-31,S001,P00120,SUP0012,5,1,4,6,0.2,28,0.926,20.0
INV00000121,2025-12-31,S001,P00121,SUP0047,2,2,0,3,0.1,23,0.949,0.0
INV00000122,2025-12-31,S001,P00122,SUP0015,1,0,1,2,0.0667,5,0.991,14.99
INV00000123,2025-12-31,S001,P00123,SUP0030,1,1,0,3,0.1,11,0.96,0.0
INV00000124,2025-12-31,S001,P00124,SUP0047,3,1,2,5,0.1667,23,0.949,12.0
INV00000125,2025-12-31,S001,P00125,SUP0032,3,1,2,7,0.2333,2,0.899,8.57
INV00000126,2025-12-31,S001,P00126,SUP0029,9,2,7,8,0.2667,6,0.9,26.25
INV00000127,2025-12-31,S001,P00127,SUP0003,3,3,0,5,0.1667,14,0.947,0.0
INV00000128,2025-12-31,S001,P00128,SUP0017,5,1,4,4,0.1333,4,0.858,30.01
INV00000129,2025-12-31,S001,P00129,SUP0034,3,2,1,4,0.1333,6,0.907,7.5
INV00000130,2025-12-31,S001,P00130,SUP0032,2,2,0,5,0.1667,2,0.899,0.0
INV00000131,2025-12-31,S001,P00131,SUP0023,3,0,3,8,0.2667,25,0.938,11.25
INV00000132,2025-12-31,S001,P00132,SUP0046,5,4,1,5,0.1667,5,0.844,6.0
INV00000133,2025-12-31,S001,P00133,SUP0045,2,1,1,2,0.0667,7,0.847,14.99
INV00000134,2025-12-31,S001,P00134,SUP0014,5,4,1,4,0.1333,6,0.872,7.5
INV00000135,2025-12-31,S001,P00135,SUP0035,2,1,1,4,0.1333,20,0.951,7.5
INV00000136,2025-12-31,S001,P00136,SUP0036,3,3,0,3,0.1,20,0.804,0.0
INV00000137,2025-12-31,S001,P00137,SUP0021,1,1,0,1,0.0333,24,0.903,0.0
INV00000138,2025-12-31,S001,P00138,SUP0040,2,1,1,2,0.0667,11,0.951,14.99
INV00000139,2025-12-31,S001,P00139,SUP0017,1,0,1,1,0.0333,4,0.858,30.03
INV00000140,2025-12-31,S001,P00140,SUP0020,2,1,1,4,0.1333,23,0.878,7.5
INV00000141,2025-12-31,S001,P00141,SUP0001,1,0,1,1,0.0333,18,0.967,30.03
INV00000142,2025-12-31,S001,P00142,SUP0034,3,2,1,2,0.0667,6,0.907,14.99
INV00000143,2025-12-31,S001,P00143,SUP0045,5,1,4,6,0.2,7,0.847,20.0
INV00000144,2025-12-31,S001,P00144,SUP0035,6,6,0,5,0.1667,20,0.951,0.0
INV00000145,2025-12-31,S001,P00145,SUP0022,6,1,5,6,0.2,16,0.819,25.0
INV00000146,2025-12-31,S001,P00146,SUP0022,1,1,0,1,0.0333,16,0.819,0.0
INV00000147,2025-12-31,S001,P00147,SUP0046,4,4,0,5,0.1667,5,0.844,0.0
INV00000148,2025-12-31,S001,P00148,SUP0015,5,3,2,4,0.1333,5,0.991,15.0
INV00000149,2025-12-31,S001,P00149,SUP0036,1,0,1,3,0.1,20,0.804,10.0
INV00000150,2025-12-31,S001,P00150,SUP0008,11,6,5,0,0.0,14,0.883,
INV00000151,2025-12-31,S001,P00151,SUP0004,17,5,12,14,0.4667,17,0.948,25.71
INV00000152,2025-12-31,S001,P00152,SUP0023,2,2,0,5,0.1667,25,0.938,0.0
INV00000153,2025-12-31,S001,P00153,SUP0005,5,4,1,5,0.1667,4,0.858,6.0
INV00000154,2025-12-31,S001,P00154,SUP0001,4,1,3,4,0.1333,18,0.967,22.51
INV00000155,2025-12-31,S001,P00155,SUP0031,6,2,4,5,0.1667,21,0.958,24.0
INV00000156,2025-12-31,S001,P00156,SUP0040,3,0,3,6,0.2,11,0.951,15.0
INV00000157,2025-12-31,S001,P00157,SUP0031,9,7,2,8,0.2667,21,0.958,7.5
INV00000158,2025-12-31,S001,P00158,SUP0008,4,0,4,8,0.2667,14,0.883,15.0
INV00000159,2025-12-31,S001,P00159,SUP0006,3,3,0,2,0.0667,12,0.852,0.0
INV00000160,2025-12-31,S001,P00160,SUP0019,9,9,0,7,0.2333,26,0.868,0.0
INV00000161,2025-12-31,S001,P00161,SUP0028,2,2,0,6,0.2,3,0.981,0.0
INV00000162,2025-12-31,S001,P00162,SUP0016,5,3,2,4,0.1333,29,0.922,15.0
INV00000163,2025-12-31,S001,P00163,SUP0039,6,5,1,4,0.1333,10,0.858,7.5
INV00000164,2025-12-31,S001,P00164,SUP0025,5,2,3,4,0.1333,24,0.983,22.51
INV00000165,2025-12-31,S001,P00165,SUP0002,1,0,1,1,0.0333,14,0.955,30.03
INV00000166,2025-12-31,S001,P00166,SUP0021,3,1,2,4,0.1333,24,0.903,15.0
INV00000167,2025-12-31,S001,P00167,SUP0030,1,0,1,2,0.0667,11,0.96,14.99
INV00000168,2025-12-31,S001,P00168,SUP0004,5,1,4,4,0.1333,17,0.948,30.01
INV00000169,2025-12-31,S001,P00169,SUP0048,2,0,2,2,0.0667,25,0.813,29.99
INV00000170,2025-12-31,S001,P00170,SUP0047,2,2,0,2,0.0667,23,0.949,0.0
INV00000171,2025-12-31,S001,P00171,SUP0034,3,0,3,3,0.1,6,0.907,30.0
INV00000172,2025-12-31,S001,P00172,SUP0010,7,2,5,5,0.1667,30,0.95,29.99
INV00000173,2025-12-31,S001,P00173,SUP0005,17,6,11,12,0.4,4,0.858,27.5
INV00000174,2025-12-31,S001,P00174,SUP0015,4,2,2,5,0.1667,5,0.991,12.0
INV00000175,2025-12-31,S001,P00175,SUP0026,2,1,1,5,0.1667,4,0.845,6.0
INV00000176,2025-12-31,S001,P00176,SUP0018,12,1,11,8,0.2667,17,0.888,41.24
INV00000177,2025-12-31,S001,P00177,SUP0025,3,1,2,3,0.1,24,0.983,20.0
INV00000178,2025-12-31,S001,P00178,SUP0038,2,1,1,4,0.1333,21,0.846,7.5
INV00000179,2025-12-31,S001,P00179,SUP0030,4,0,4,6,0.2,11,0.96,20.0
INV00000180,2025-12-31,S001,P00180,SUP0019,3,3,0,5,0.1667,26,0.868,0.0
INV00000181,2025-12-31,S001,P00181,SUP0040,4,3,1,4,0.1333,11,0.951,7.5
INV00000182,2025-12-31,S001,P00182,SUP0041,3,0,3,4,0.1333,22,0.875,22.51
INV00000183,2025-12-31,S001,P00183,SUP0033,3,3,0,0,0.0,10,0.948,
INV00000184,2025-12-31,S001,P00184,SUP0048,8,8,0,9,0.3,25,0.813,0.0
INV00000185,2025-12-31,S001,P00185,SUP0049,5,3,2,7,0.2333,16,0.829,8.57
INV00000186,2025-12-31,S001,P00186,SUP0004,5,3,2,4,0.1333,17,0.948,15.0
INV00000187,2025-12-31,S001,P00187,SUP0003,1,1,0,1,0.0333,14,0.947,0.0
INV00000188,2025-12-31,S001,P00188,SUP0023,2,2,0,2,0.0667,25,0.938,0.0
INV00000189,2025-12-31,S001,P00189,SUP0044,2,0,2,6,0.2,29,0.972,10.0
INV00000190,2025-12-31,S001,P00190,SUP0044,3,3,0,3,0.1,29,0.972,0.0
INV00000191,2025-12-31,S001,P00191,SUP0020,17,3,14,15,0.5,23,0.878,28.0
INV00000192,2025-12-31,S001,P00192,SUP0046,4,0,4,3,0.1,5,0.844,40.0
INV00000193,2025-12-31,S001,P00193,SUP0021,1,0,1,2,0.0667,24,0.903,14.99
INV00000194,2025-12-31,S001,P00194,SUP0018,9,9,0,7,0.2333,17,0.888,0.0
INV00000195,2025-12-31,S001,P00195,SUP0030,2,1,1,2,0.0667,11,0.96,14.99
INV00000196,2025-12-31,S001,P00196,SUP0034,5,0,5,5,0.1667,6,0.907,29.99
INV00000197,2025-12-31,S001,P00197,SUP0032,22,7,15,0,0.0,2,0.899,
INV00000198,2025-12-31,S001,P00198,SUP0042,2,0,2,3,0.1,25,0.975,20.0
INV00000199,2025-12-31,S001,P00199,SUP0035,6,0,6,6,0.2,20,0.951,30.0
INV00000200,2025-12-31,S001,P00200,SUP0034,10,3,7,7,0.2333,6,0.907,30.0
INV00000201,2025-12-31,S001,P00201,SUP0005,1,0,1,2,0.0667,4,0.858,14.99
INV00000202,2025-12-31,S001,P00202,SUP0029,12,1,11,8,0.2667,6,0.9,41.24
INV00000203,2025-12-31,S001,P00203,SUP0038,5,1,4,5,0.1667,21,0.846,24.0
INV00000204,2025-12-31,S001,P00204,SUP0034,5,1,4,4,0.1333,6,0.907,30.01
INV00000205,2025-12-31,S001,P00205,SUP0041,10,8,2,12,0.4,22,0.875,5.0
INV00000206,2025-12-31,S001,P00206,SUP0006,9,2,7,7,0.2333,12,0.852,30.0
INV00000207,2025-12-31,S001,P00207,SUP0008,3,0,3,2,0.0667,14,0.883,44.98
INV00000208,2025-12-31,S001,P00208,SUP0038,2,0,2,3,0.1,21,0.846,20.0
INV00000209,2025-12-31,S001,P00209,SUP0045,13,4,9,9,0.3,7,0.847,30.0
INV00000210,2025-12-31,S001,P00210,SUP0017,7,2,5,5,0.1667,4,0.858,29.99
INV00000211,2025-12-31,S001,P00211,SUP0016,7,0,7,8,0.2667,29,0.922,26.25
INV00000212,2025-12-31,S001,P00212,SUP0006,2,0,2,3,0.1,12,0.852,20.0
INV00000213,2025-12-31,S001,P00213,SUP0020,4,2,2,3,0.1,23,0.878,20.0
INV00000214,2025-12-31,S001,P00214,SUP0019,5,3,2,7,0.2333,26,0.868,8.57
INV00000215,2025-12-31,S001,P00215,SUP0043,2,0,2,4,0.1333,2,0.829,15.0
INV00000216,2025-12-31,S001,P00216,SUP0009,7,0,7,8,0.2667,19,0.914,26.25
INV00000217,2025-12-31,S001,P00217,SUP0034,5,2,3,11,0.3667,6,0.907,8.18
INV00000218,2025-12-31,S001,P00218,SUP0004,3,0,3,9,0.3,17,0.948,10.0
INV00000219,2025-12-31,S001,P00219,SUP0046,9,6,3,7,0.2333,5,0.844,12.86
INV00000220,2025-12-31,S001,P00220,SUP0048,4,1,3,5,0.1667,25,0.813,18.0
INV00000221,2025-12-31,S001,P00221,SUP0027,8,0,8,15,0.5,22,0.917,16.0
INV00000222,2025-12-31,S001,P00222,SUP0011,1,1,0,2,0.0667,24,0.81,0.0
INV00000223,2025-12-31,S001,P00223,SUP0027,3,2,1,4,0.1333,22,0.917,7.5
INV00000224,2025-12-31,S001,P00224,SUP0040,1,1,0,1,0.0333,11,0.951,0.0
INV00000225,2025-12-31,S001,P00225,SUP0020,4,0,4,4,0.1333,23,0.878,30.01
INV00000226,2025-12-31,S001,P00226,SUP0019,9,2,7,9,0.3,26,0.868,23.33
INV00000227,2025-12-31,S001,P00227,SUP0020,11,5,6,10,0.3333,23,0.878,18.0
INV00000228,2025-12-31,S001,P00228,SUP0033,1,1,0,1,0.0333,10,0.948,0.0
INV00000229,2025-12-31,S001,P00229,SUP0011,2,2,0,5,0.1667,24,0.81,0.0
INV00000230,2025-12-31,S001,P00230,SUP0011,3,2,1,2,0.0667,24,0.81,14.99
INV00000231,2025-12-31,S001,P00231,SUP0013,6,4,2,4,0.1333,22,0.804,15.0
INV00000232,2025-12-31,S001,P00232,SUP0040,2,0,2,2,0.0667,11,0.951,29.99
INV00000233,2025-12-31,S001,P00233,SUP0017,2,0,2,2,0.0667,4,0.858,29.99
INV00000234,2025-12-31,S001,P00234,SUP0049,3,2,1,8,0.2667,16,0.829,3.75
INV00000235,2025-12-31,S001,P00235,SUP0010,5,0,5,10,0.3333,30,0.95,15.0
INV00000236,2025-12-31,S001,P00236,SUP0039,3,2,1,7,0.2333,10,0.858,4.29
INV00000237,2025-12-31,S001,P00237,SUP0015,6,5,1,5,0.1667,5,0.991,6.0
INV00000238,2025-12-31,S001,P00238,SUP0042,5,2,3,6,0.2,25,0.975,15.0
INV00000239,2025-12-31,S001,P00239,SUP0014,19,8,11,0,0.0,6,0.872,
INV00000240,2025-12-31,S001,P00240,SUP0002,3,1,2,7,0.2333,14,0.955,8.57
INV00000241,2025-12-31,S001,P00241,SUP0002,2,0,2,2,0.0667,14,0.955,29.99
INV00000242,2025-12-31,S001,P00242,SUP0041,2,0,2,6,0.2,22,0.875,10.0
INV00000243,2025-12-31,S001,P00243,SUP0002,7,6,1,5,0.1667,14,0.955,6.0
INV00000244,2025-12-31,S001,P00244,SUP0037,3,1,2,6,0.2,28,0.809,10.0
INV00000245,2025-12-31,S001,P00245,SUP0001,15,5,10,10,0.3333,18,0.967,30.0
INV00000246,2025-12-31,S001,P00246,SUP0039,1,0,1,4,0.1333,10,0.858,7.5
INV00000247,2025-12-31,S001,P00247,SUP0046,5,0,5,4,0.1333,5,0.844,37.51
INV00000248,2025-12-31,S001,P00248,SUP0016,5,5,0,5,0.1667,29,0.922,0.0
INV00000249,2025-12-31,S001,P00249,SUP0040,22,3,19,0,0.0,11,0.951,
INV00000250,2025-12-31,S001,P00250,SUP0022,2,1,1,3,0.1,16,0.819,10.0
INV00000251,2025-12-31,S001,P00251,SUP0039,4,2,2,3,0.1,10,0.858,20.0
INV00000252,2025-12-31,S001,P00252,SUP0033,8,4,4,9,0.3,10,0.948,13.33
INV00000253,2025-12-31,S001,P00253,SUP0013,3,1,2,2,0.0667,22,0.804,29.99
INV00000254,2025-12-31,S001,P00254,SUP0018,12,2,10,10,0.3333,17,0.888,30.0
INV00000255,2025-12-31,S001,P00255,SUP0017,6,5,1,6,0.2,4,0.858,5.0
INV00000256,2025-12-31,S001,P00256,SUP0012,2,1,1,2,0.0667,28,0.926,14.99
INV00000257,2025-12-31,S001,P00257,SUP0022,2,2,0,2,0.0667,16,0.819,0.0
INV00000258,2025-12-31,S001,P00258,SUP0044,3,2,1,6,0.2,29,0.972,5.0
INV00000259,2025-12-31,S001,P00259,SUP0025,5,5,0,10,0.3333,24,0.983,0.0
INV00000260,2025-12-31,S001,P00260,SUP0045,2,1,1,3,0.1,7,0.847,10.0
INV00000261,2025-12-31,S001,P00261,SUP0012,1,0,1,1,0.0333,28,0.926,30.03
INV00000262,2025-12-31,S001,P00262,SUP0030,9,5,4,6,0.2,11,0.96,20.0
INV00000263,2025-12-31,S001,P00263,SUP0016,1,1,0,1,0.0333,29,0.922,0.0
INV00000264,2025-12-31,S001,P00264,SUP0050,8,8,0,6,0.2,18,0.945,0.0
INV00000265,2025-12-31,S001,P00265,SUP0014,1,0,1,1,0.0333,6,0.872,30.03
INV00000266,2025-12-31,S001,P00266,SUP0009,2,1,1,2,0.0667,19,0.914,14.99
INV00000267,2025-12-31,S001,P00267,SUP0006,2,1,1,4,0.1333,12,0.852,7.5
INV00000268,2025-12-31,S001,P00268,SUP0049,12,9,3,14,0.4667,16,0.829,6.43
INV00000269,2025-12-31,S001,P00269,SUP0011,3,0,3,5,0.1667,24,0.81,18.0
INV00000270,2025-12-31,S001,P00270,SUP0024,2,1,1,2,0.0667,23,0.912,14.99
INV00000271,2025-12-31,S001,P00271,SUP0041,4,3,1,3,0.1,22,0.875,10.0
INV00000272,2025-12-31,S001,P00272,SUP0006,8,5,3,6,0.2,12,0.852,15.0
INV00000273,2025-12-31,S001,P00273,SUP0021,5,0,5,5,0.1667,24,0.903,29.99
INV00000274,2025-12-31,S001,P00274,SUP0013,2,2,0,3,0.1,22,0.804,0.0
INV00000275,2025-12-31,S001,P00275,SUP0049,20,3,17,0,0.0,16,0.829,
INV00000276,2025-12-31,S001,P00276,SUP0014,2,2,0,2,0.0667,6,0.872,0.0
INV00000277,2025-12-31,S001,P00277,SUP0024,7,5,2,6,0.2,23,0.912,10.0
INV00000278,2025-12-31,S001,P00278,SUP0050,10,4,6,9,0.3,18,0.945,20.0
INV00000279,2025-12-31,S001,P00279,SUP0024,4,0,4,4,0.1333,23,0.912,30.01
INV00000280,2025-12-31,S001,P00280,SUP0038,2,0,2,2,0.0667,21,0.846,29.99
INV00000281,2025-12-31,S001,P00281,SUP0048,2,1,1,2,0.0667,25,0.813,14.99
INV00000282,2025-12-31,S001,P00282,SUP0041,7,6,1,5,0.1667,22,0.875,6.0
INV00000283,2025-12-31,S001,P00283,SUP0035,10,0,10,7,0.2333,20,0.951,42.86
INV00000284,2025-12-31,S001,P00284,SUP0001,12,7,5,12,0.4,18,0.967,12.5
