return_id,original_order_id,original_order_item_id,customer_id,return_timestamp,returned_quantity,refund_amount,return_type,return_reason
R0000000061,O0000001376,OI000000004171,C0000373,2024-03-27 09:13:51,1,59.62,FULL_ORDER_REFUND,DAMAGED
R0000000062,O0000001376,OI000000004172,C0000373,2024-03-08 09:10:46,2,729.18,FULL_ORDER_REFUND,UNWANTED
R0000000063,O0000001376,OI000000004173,C0000373,2024-04-18 16:56:01,1,65.77,FULL_ORDER_REFUND,UNWANTED
R0000000064,O0000001508,OI000000004585,C0000402,2025-07-14 21:52:56,1,38.98,FULL_ORDER_REFUND,WRONG_ITEM
R0000000065,O0000001508,OI000000004586,C0000402,2025-08-27 22:06:36,1,488.15,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000066,O0000001508,OI000000004587,C0000402,2025-07-10 23:53:09,1,12.11,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000067,O0000001549,OI000000004717,C0000412,2024-11-30 16:33:54,1,19.42,FULL_ORDER_REFUND,UNWANTED
R0000000068,O0000001549,OI000000004718,C0000412,2024-11-24 23:48:14,3,118.83,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000069,O0000001549,OI000000004719,C0000412,2024-11-27 09:04:54,1,71.43,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000070,O0000001549,OI000000004720,C0000412,2025-01-03 11:33:01,1,136.06,FULL_ORDER_REFUND,WRONG_ITEM
R0000000071,O0000002022,OI000000006195,C0000540,2025-11-19 13:44:49,1,16.73,FULL_ORDER_REFUND,UNWANTED
R0000000072,O0000002022,OI000000006196,C0000540,2025-11-20 07:11:57,1,26.66,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000073,O0000002022,OI000000006197,C0000540,2025-11-09 01:06:59,2,85.88,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000074,O0000002022,OI000000006198,C0000540,2025-11-29 07:50:58,1,4.67,FULL_ORDER_REFUND,WRONG_ITEM
R0000000075,O0000002022,OI000000006199,C0000540,2025-11-27 13:14:49,1,6.8,FULL_ORDER_REFUND,UNWANTED
R0000000076,O0000002022,OI000000006200,C0000540,2025-11-15 09:21:29,1,117.58,FULL_ORDER_REFUND,UNWANTED
R0000000077,O0000002022,OI000000006201,C0000540,2025-12-07 19:44:47,1,8.87,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000078,O0000002022,OI000000006202,C0000540,2025-11-01 19:15:55,2,111.23,FULL_ORDER_REFUND,UNWANTED
R0000000079,O0000002255,OI000000006934,C0000604,2025-12-14 19:22:58,1,37.02,FULL_ORDER_REFUND,DEFECTIVE
R0000000080,O0000002255,OI000000006935,C0000604,2025-12-29 15:04:39,1,27.58,FULL_ORDER_REFUND,DAMAGED
R0000000081,O0000002255,OI000000006936,C0000604,2025-12-29 08:38:02,1,21.05,FULL_ORDER_REFUND,DAMAGED
R0000000082,O0000002255,OI000000006937,C0000604,2025-12-27 10:44:08,1,148.98,FULL_ORDER_REFUND,UNWANTED
R0000000083,O0000002255,OI000000006938,C0000604,2025-12-23 20:59:20,1,83.0,FULL_ORDER_REFUND,UNWANTED
R0000000084,O0000002255,OI000000006939,C0000604,2025-12-19 02:06:24,1,8.87,FULL_ORDER_REFUND,DAMAGED
R0000000085,O0000002255,OI000000006940,C0000604,2025-12-16 22:18:17,1,32.92,FULL_ORDER_REFUND,DAMAGED
R0000000086,O0000002255,OI000000006941,C0000604,2025-12-16 08:37:00,1,9.51,FULL_ORDER_REFUND,WRONG_ITEM
R0000000087,O0000002679,OI000000008236,C0000710,2025-08-27 03:13:10,1,32.92,FULL_ORDER_REFUND,WRONG_ITEM
R0000000088,O0000002679,OI000000008237,C0000710,2025-07-20 23:56:21,1,37.57,FULL_ORDER_REFUND,DEFECTIVE
R0000000089,O0000002769,OI000000008487,C0000742,2024-05-15 12:25:35,1,247.94,FULL_ORDER_REFUND,DEFECTIVE
R0000000090,O0000002769,OI000000008488,C0000742,2024-04-29 15:26:56,1,207.79,FULL_ORDER_REFUND,WRONG_ITEM
R0000000091,O0000002769,OI000000008489,C0000742,2024-05-27 00:46:23,3,25.17,FULL_ORDER_REFUND,DAMAGED
R0000000092,O0000002801,OI000000008589,C0000745,2025-02-25 14:43:50,2,30.46,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000093,O0000002801,OI000000008590,C0000745,2025-01-31 00:06:18,1,270.28,FULL_ORDER_REFUND,DAMAGED
R0000000094,O0000002801,OI000000008591,C0000745,2025-03-04 04:10:45,1,60.87,FULL_ORDER_REFUND,UNWANTED
R0000000095,O0000002801,OI000000008592,C0000745,2025-01-27 22:06:58,1,105.61,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000096,O0000002801,OI000000008593,C0000745,2025-01-14 07:32:45,1,9.61,FULL_ORDER_REFUND,DEFECTIVE
R0000000097,O0000002801,OI000000008594,C0000745,2025-03-08 10:35:30,1,98.25,FULL_ORDER_REFUND,DAMAGED
R0000000098,O0000002924,OI000000008980,C0000772,2024-12-23 13:35:31,3,87.96,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000099,O0000002924,OI000000008981,C0000772,2025-02-05 12:44:22,1,96.27,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000100,O0000002932,OI000000009003,C0000773,2025-04-09 16:05:32,2,25.74,FULL_ORDER_REFUND,UNWANTED
R0000000101,O0000002932,OI000000009004,C0000773,2025-04-07 05:06:50,2,474.06,FULL_ORDER_REFUND,WRONG_ITEM
R0000000102,O0000002932,OI000000009005,C0000773,2025-03-23 16:37:37,1,117.71,FULL_ORDER_REFUND,DAMAGED
R0000000103,O0000002985,OI000000009177,C0000783,2025-02-14 02:33:31,1,27.58,FULL_ORDER_REFUND,UNWANTED
R0000000104,O0000002985,OI000000009178,C0000783,2025-02-01 16:20:53,1,21.92,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000105,O0000002985,OI000000009179,C0000783,2025-03-02 02:16:44,1,14.25,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000106,O0000002985,OI000000009180,C0000783,2025-03-09 22:57:39,1,17.16,FULL_ORDER_REFUND,UNWANTED
R0000000107,O0000002985,OI000000009181,C0000783,2025-02-18 00:51:21,2,656.26,FULL_ORDER_REFUND,UNWANTED
R0000000108,O0000003064,OI000000009424,C0000808,2025-11-23 13:38:19,1,89.29,FULL_ORDER_REFUND,DAMAGED
R0000000109,O0000003064,OI000000009425,C0000808,2025-11-29 23:00:08,2,80.36,FULL_ORDER_REFUND,DAMAGED
R0000000110,O0000003064,OI000000009426,C0000808,2025-12-15 10:51:13,1,16.7,FULL_ORDER_REFUND,DEFECTIVE
R0000000111,O0000003064,OI000000009427,C0000808,2025-12-12 06:00:01,1,26.14,FULL_ORDER_REFUND,DAMAGED
R0000000112,O0000003064,OI000000009428,C0000808,2025-11-20 17:07:08,1,227.21,FULL_ORDER_REFUND,UNWANTED
R0000000113,O0000003064,OI000000009429,C0000808,2025-12-21 08:45:05,2,87.88,FULL_ORDER_REFUND,DEFECTIVE
R0000000114,O0000003099,OI000000009539,C0000816,2025-12-24 06:41:42,1,8.22,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000115,O0000003099,OI000000009540,C0000816,2025-12-19 02:25:13,1,30.65,FULL_ORDER_REFUND,WRONG_ITEM
R0000000116,O0000003099,OI000000009541,C0000816,2025-12-25 23:33:26,4,621.66,FULL_ORDER_REFUND,WRONG_ITEM
R0000000117,O0000003099,OI000000009542,C0000816,2025-12-31 18:10:22,1,2.62,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000118,O0000003099,OI000000009543,C0000816,2025-12-22 10:46:45,1,20.6,FULL_ORDER_REFUND,WRONG_ITEM
R0000000119,O0000003105,OI000000009559,C0000819,2025-12-17 16:59:27,1,727.64,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000120,O0000003105,OI000000009560,C0000819,2025-12-03 13:24:09,1,6.53,FULL_ORDER_REFUND,DEFECTIVE
R0000000121,O0000003110,OI000000009567,C0000821,2024-09-16 01:26:22,1,69.27,FULL_ORDER_REFUND,WRONG_ITEM
R0000000122,O0000003110,OI000000009568,C0000821,2024-11-10 07:24:39,1,8.07,FULL_ORDER_REFUND,UNWANTED
R0000000123,O0000003115,OI000000009582,C0000821,2025-12-02 13:06:46,1,83.42,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000124,O0000003115,OI000000009583,C0000821,2025-12-15 19:52:18,2,164.5,FULL_ORDER_REFUND,DEFECTIVE
R0000000125,O0000003216,OI000000009893,C0000853,2025-09-12 21:04:02,1,1.23,FULL_ORDER_REFUND,DEFECTIVE
R0000000126,O0000003216,OI000000009894,C0000853,2025-10-30 18:06:46,1,20.21,FULL_ORDER_REFUND,UNWANTED
R0000000127,O0000003216,OI000000009895,C0000853,2025-09-16 04:44:46,2,32.44,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000128,O0000003216,OI000000009896,C0000853,2025-11-01 02:07:33,2,19.86,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000129,O0000003227,OI000000009921,C0000860,2024-04-02 21:53:59,2,80.62,FULL_ORDER_REFUND,UNWANTED
R0000000130,O0000003227,OI000000009922,C0000860,2024-04-02 05:07:17,1,38.23,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000131,O0000003227,OI000000009923,C0000860,2024-05-18 21:25:36,1,4.92,FULL_ORDER_REFUND,DAMAGED
R0000000132,O0000003359,OI000000010274,C0000904,2025-12-15 10:46:00,2,323.56,FULL_ORDER_REFUND,UNWANTED
R0000000133,O0000003359,OI000000010275,C0000904,2025-12-17 21:11:12,1,32.08,FULL_ORDER_REFUND,WRONG_ITEM
R0000000134,O0000003359,OI000000010276,C0000904,2025-12-24 08:48:44,1,31.81,FULL_ORDER_REFUND,WRONG_ITEM
R0000000135,O0000003438,OI000000010512,C0000933,2025-01-27 19:41:07,1,7.86,FULL_ORDER_REFUND,DEFECTIVE
R0000000136,O0000003699,OI000000011294,C0000987,2025-07-08 14:53:18,1,77.88,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000137,O0000003699,OI000000011295,C0000987,2025-07-05 15:29:54,1,10.79,FULL_ORDER_REFUND,WRONG_ITEM
R0000000138,O0000003699,OI000000011296,C0000987,2025-07-18 22:41:46,1,29.32,FULL_ORDER_REFUND,DAMAGED
R0000000139,O0000003709,OI000000011321,C0000989,2025-10-27 07:29:39,2,300.68,FULL_ORDER_REFUND,WRONG_ITEM
R0000000140,O0000003945,OI000000012042,C0001062,2025-12-06 12:44:03,1,16.01,FULL_ORDER_REFUND,WRONG_ITEM
R0000000141,O0000003945,OI000000012043,C0001062,2025-12-15 07:19:20,2,32.24,FULL_ORDER_REFUND,UNWANTED
R0000000142,O0000004117,OI000000012556,C0001096,2025-01-21 21:05:13,1,15.22,FULL_ORDER_REFUND,DAMAGED
R0000000143,O0000004117,OI000000012557,C0001096,2024-12-31 21:09:37,1,169.28,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000144,O0000004117,OI000000012558,C0001096,2025-01-05 11:48:50,1,14.52,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000145,O0000004117,OI000000012559,C0001096,2025-01-17 15:20:09,1,15.01,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000146,O0000004117,OI000000012560,C0001096,2025-02-17 02:15:03,1,53.87,FULL_ORDER_REFUND,DAMAGED
R0000000147,O0000004150,OI000000012676,C0001106,2025-12-24 17:09:05,1,2.79,FULL_ORDER_REFUND,UNWANTED
R0000000148,O0000004150,OI000000012677,C0001106,2025-12-18 22:21:37,1,27.51,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000149,O0000004150,OI000000012678,C0001106,2025-12-29 07:21:40,1,5.47,FULL_ORDER_REFUND,UNWANTED
R0000000150,O0000004169,OI000000012744,C0001116,2025-12-12 15:53:35,1,20.51,FULL_ORDER_REFUND,DEFECTIVE
R0000000151,O0000004169,OI000000012745,C0001116,2025-12-26 00:50:19,1,4.73,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000152,O0000004169,OI000000012746,C0001116,2025-12-27 16:43:01,1,266.35,FULL_ORDER_REFUND,WRONG_ITEM
R0000000153,O0000004244,OI000000012983,C0001135,2025-06-19 18:12:03,1,124.26,FULL_ORDER_REFUND,DEFECTIVE
R0000000154,O0000004244,OI000000012984,C0001135,2025-06-25 15:04:35,2,121.6,FULL_ORDER_REFUND,WRONG_ITEM
R0000000155,O0000004296,OI000000013121,C0001146,2024-10-27 22:31:10,1,11.89,FULL_ORDER_REFUND,UNWANTED
R0000000156,O0000004342,OI000000013271,C0001160,2024-12-27 15:12:45,1,252.9,FULL_ORDER_REFUND,DEFECTIVE
R0000000157,O0000004342,OI000000013272,C0001160,2024-12-30 04:42:29,1,65.54,FULL_ORDER_REFUND,UNWANTED
R0000000158,O0000004342,OI000000013273,C0001160,2024-12-28 04:59:23,1,28.82,FULL_ORDER_REFUND,UNWANTED
R0000000159,O0000004342,OI000000013274,C0001160,2024-12-02 02:05:50,1,4.7,FULL_ORDER_REFUND,DAMAGED
R0000000160,O0000004342,OI000000013275,C0001160,2024-12-04 08:26:15,1,3.87,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000161,O0000004342,OI000000013276,C0001160,2024-11-22 01:24:54,1,4.82,FULL_ORDER_REFUND,UNWANTED
R0000000162,O0000004461,OI000000013637,C0001186,2025-09-01 15:16:35,1,5.42,FULL_ORDER_REFUND,UNWANTED
R0000000163,O0000004461,OI000000013638,C0001186,2025-08-31 08:39:45,1,35.17,FULL_ORDER_REFUND,WRONG_ITEM
R0000000164,O0000004461,OI000000013639,C0001186,2025-10-17 07:26:57,1,2.62,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000165,O0000004653,OI000000014235,C0001230,2024-10-18 19:23:01,3,151.47,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000166,O0000004653,OI000000014236,C0001230,2024-09-22 13:10:35,1,171.44,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000167,O0000004653,OI000000014237,C0001230,2024-10-17 05:39:12,1,651.31,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000168,O0000004683,OI000000014337,C0001240,2025-11-09 21:46:40,1,1.49,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000169,O0000004683,OI000000014338,C0001240,2025-11-17 14:50:36,1,2.84,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000170,O0000004683,OI000000014339,C0001240,2025-11-10 10:14:17,1,9.73,FULL_ORDER_REFUND,WRONG_ITEM
R0000000171,O0000005040,OI000000015392,C0001353,2025-12-19 06:49:53,1,107.57,FULL_ORDER_REFUND,DEFECTIVE
R0000000172,O0000005040,OI000000015393,C0001353,2025-12-18 07:36:47,2,51.95,FULL_ORDER_REFUND,DEFECTIVE
R0000000173,O0000005075,OI000000015497,C0001358,2025-08-06 06:08:17,2,73.14,FULL_ORDER_REFUND,DEFECTIVE
R0000000174,O0000005200,OI000000015874,C0001400,2025-12-31 14:33:25,1,36.91,FULL_ORDER_REFUND,UNWANTED
R0000000175,O0000005415,OI000000016529,C0001482,2025-11-12 21:35:25,1,7.86,FULL_ORDER_REFUND,DAMAGED
R0000000176,O0000005415,OI000000016530,C0001482,2025-11-30 14:54:44,1,167.21,FULL_ORDER_REFUND,DAMAGED
R0000000177,O0000005415,OI000000016531,C0001482,2025-12-06 05:54:09,1,128.77,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000178,O0000005415,OI000000016532,C0001482,2025-11-25 04:25:55,2,125.64,FULL_ORDER_REFUND,DEFECTIVE
R0000000179,O0000005415,OI000000016533,C0001482,2025-11-17 03:38:58,1,17.91,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000180,O0000005464,OI000000016677,C0001498,2024-07-01 11:53:43,3,13.49,FULL_ORDER_REFUND,WRONG_ITEM
R0000000181,O0000005464,OI000000016678,C0001498,2024-08-07 13:29:21,1,20.91,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000182,O0000005491,OI000000016765,C0001508,2025-05-22 04:00:33,1,40.18,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000183,O0000005491,OI000000016766,C0001508,2025-04-05 19:26:26,1,70.51,FULL_ORDER_REFUND,WRONG_ITEM
R0000000184,O0000005491,OI000000016767,C0001508,2025-04-11 15:13:40,1,38.23,FULL_ORDER_REFUND,UNWANTED
R0000000185,O0000005491,OI000000016768,C0001508,2025-04-03 12:26:37,1,18.6,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000186,O0000005491,OI000000016769,C0001508,2025-04-12 06:59:26,1,14.98,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000187,O0000005491,OI000000016770,C0001508,2025-04-10 16:12:39,1,2.03,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000188,O0000005491,OI000000016771,C0001508,2025-04-12 19:12:23,4,836.53,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000189,O0000005562,OI000000016977,C0001527,2025-12-17 21:46:28,1,79.19,FULL_ORDER_REFUND,WRONG_ITEM
R0000000190,O0000005562,OI000000016978,C0001527,2025-12-14 05:45:40,1,22.95,FULL_ORDER_REFUND,WRONG_ITEM
R0000000191,O0000005562,OI000000016979,C0001527,2025-12-19 20:56:35,1,51.2,FULL_ORDER_REFUND,UNWANTED
R0000000192,O0000005562,OI000000016980,C0001527,2025-12-31 00:06:42,4,96.52,FULL_ORDER_REFUND,DEFECTIVE
R0000000193,O0000005562,OI000000016981,C0001527,2025-12-19 09:20:57,1,10.51,FULL_ORDER_REFUND,DEFECTIVE
R0000000194,O0000005562,OI000000016982,C0001527,2025-12-15 22:05:12,1,310.26,FULL_ORDER_REFUND,WRONG_ITEM
R0000000195,O0000005568,OI000000016993,C0001531,2025-12-22 06:02:48,1,12.7,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000196,O0000005568,OI000000016994,C0001531,2025-12-25 18:42:05,1,94.85,FULL_ORDER_REFUND,WRONG_ITEM
R0000000197,O0000005677,OI000000017304,C0001561,2025-09-30 00:44:32,1,53.54,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000198,O0000005677,OI000000017305,C0001561,2025-09-19 19:44:32,1,105.12,FULL_ORDER_REFUND,DEFECTIVE
R0000000199,O0000005689,OI000000017338,C0001563,2025-09-05 21:37:21,1,38.42,FULL_ORDER_REFUND,UNWANTED
R0000000200,O0000005689,OI000000017339,C0001563,2025-10-15 18:42:45,2,125.64,FULL_ORDER_REFUND,DAMAGED
R0000000201,O0000005689,OI000000017340,C0001563,2025-10-06 20:33:32,3,17.7,FULL_ORDER_REFUND,WRONG_ITEM
R0000000202,O0000005701,OI000000017374,C0001566,2025-08-09 16:02:41,1,69.27,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000203,O0000005701,OI000000017375,C0001566,2025-09-01 12:29:30,1,24.13,FULL_ORDER_REFUND,WRONG_ITEM
R0000000204,O0000005701,OI000000017376,C0001566,2025-08-05 04:06:24,1,3.06,FULL_ORDER_REFUND,DEFECTIVE
R0000000205,O0000005701,OI000000017377,C0001566,2025-07-09 07:57:27,1,371.95,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000206,O0000005701,OI000000017378,C0001566,2025-08-01 07:15:13,2,122.66,FULL_ORDER_REFUND,WRONG_ITEM
R0000000207,O0000005868,OI000000017855,C0001595,2025-05-21 09:01:35,1,7.17,FULL_ORDER_REFUND,DAMAGED
R0000000208,O0000005868,OI000000017856,C0001595,2025-05-24 02:21:59,3,97.52,FULL_ORDER_REFUND,UNWANTED
