product_id,supplier_id,primary_supplier_flag
P00138,SUP0040,True
P00139,SUP0017,True
P00140,SUP0020,True
P00141,SUP0001,True
P00142,SUP0034,True
P00143,SUP0045,True
P00144,SUP0035,True
P00145,SUP0022,True
P00146,SUP0022,True
P00147,SUP0046,True
P00148,SUP0015,True
P00149,SUP0036,True
P00150,SUP0008,True
P00151,SUP0004,True
P00152,SUP0023,True
P00153,SUP0005,True
P00154,SUP0001,True
P00155,SUP0031,True
P00156,SUP0040,True
P00157,SUP0031,True
P00158,SUP0008,True
P00159,SUP0006,True
P00160,SUP0019,True
P00161,SUP0028,True
P00162,SUP0016,True
P00163,SUP0039,True
P00164,SUP0025,True
P00165,SUP0002,True
P00166,SUP0021,True
P00167,SUP0030,True
P00168,SUP0004,True
P00169,SUP0048,True
P00170,SUP0047,True
P00171,SUP0034,True
P00172,SUP0010,True
P00173,SUP0005,True
P00174,SUP0015,True
P00175,SUP0026,True
P00176,SUP0018,True
P00177,SUP0025,True
P00178,SUP0038,True
P00179,SUP0030,True
P00180,SUP0019,True
P00181,SUP0040,True
P00182,SUP0041,True
P00183,SUP0033,True
P00184,SUP0048,True
P00185,SUP0049,True
P00186,SUP0004,True
P00187,SUP0003,True
P00188,SUP0023,True
P00189,SUP0044,True
P00190,SUP0044,True
P00191,SUP0020,True
P00192,SUP0046,True
P00193,SUP0021,True
P00194,SUP0018,True
P00195,SUP0030,True
P00196,SUP0034,True
P00197,SUP0032,True
P00198,SUP0042,True
P00199,SUP0035,True
P00200,SUP0034,True
P00201,SUP0005,True
P00202,SUP0029,True
P00203,SUP0038,True
P00204,SUP0034,True
P00205,SUP0041,True
P00206,SUP0006,True
P00207,SUP0008,True
P00208,SUP0038,True
P00209,SUP0045,True
P00210,SUP0017,True
P00211,SUP0016,True
P00212,SUP0006,True
P00213,SUP0020,True
P00214,SUP0019,True
P00215,SUP0043,True
P00216,SUP0009,True
P00217,SUP0034,True
P00218,SUP0004,True
P00219,SUP0046,True
P00220,SUP0048,True
P00221,SUP0027,True
P00222,SUP0011,True
P00223,SUP0027,True
P00224,SUP0040,True
P00225,SUP0020,True
P00226,SUP0019,True
P00227,SUP0020,True
P00228,SUP0033,True
P00229,SUP0011,True
P00230,SUP0011,True
P00231,SUP0013,True
P00232,SUP0040,True
P00233,SUP0017,True
P00234,SUP0049,True
P00235,SUP0010,True
P00236,SUP0039,True
P00237,SUP0015,True
P00238,SUP0042,True
P00239,SUP0014,True
P00240,SUP0002,True
P00241,SUP0002,True
P00242,SUP0041,True
P00243,SUP0002,True
P00244,SUP0037,True
P00245,SUP0001,True
P00246,SUP0039,True
P00247,SUP0046,True
P00248,SUP0016,True
P00249,SUP0040,True
P00250,SUP0022,True
P00251,SUP0039,True
P00252,SUP0033,True
P00253,SUP0013,True
P00254,SUP0018,True
P00255,SUP0017,True
P00256,SUP0012,True
P00257,SUP0022,True
P00258,SUP0044,True
P00259,SUP0025,True
P00260,SUP0045,True
P00261,SUP0012,True
P00262,SUP0030,True
P00263,SUP0016,True
P00264,SUP0050,True
P00265,SUP0014,True
P00266,SUP0009,True
P00267,SUP0006,True
P00268,SUP0049,True
P00269,SUP0011,True
P00270,SUP0024,True
P00271,SUP0041,True
P00272,SUP0006,True
P00273,SUP0021,True
P00274,SUP0013,True
P00275,SUP0049,True
P00276,SUP0014,True
P00277,SUP0024,True
P00278,SUP0050,True
P00279,SUP0024,True
P00280,SUP0038,True
P00281,SUP0048,True
P00282,SUP0041,True
P00283,SUP0035,True
P00284,SUP0001,True
P00285,SUP0005,True
P00286,SUP0002,True
P00287,SUP0044,True
P00288,SUP0049,True
P00289,SUP0032,True
P00290,SUP0036,True
P00291,SUP0008,True
P00292,SUP0008,True
P00293,SUP0037,True
P00294,SUP0020,True
P00295,SUP0004,True
P00296,SUP0024,True
P00297,SUP0026,True
P00298,SUP0035,True
P00299,SUP0004,True
P00300,SUP0042,True
P00301,SUP0045,True
P00302,SUP0037,True
P00303,SUP0006,True
P00304,SUP0031,True
P00305,SUP0018,True
P00306,SUP0013,True
P00307,SUP0033,True
P00308,SUP0011,True
P00309,SUP0010,True
P00310,SUP0044,True
P00311,SUP0041,True
P00312,SUP0031,True
P00313,SUP0048,True
P00314,SUP0028,True
P00315,SUP0036,True
P00316,SUP0043,True
P00317,SUP0042,True
P00318,SUP0020,True
P00319,SUP0042,True
P00320,SUP0003,True
P00321,SUP0016,True
P00322,SUP0027,True
P00323,SUP0018,True
P00324,SUP0033,True
P00325,SUP0018,True
P00326,SUP0002,True
P00327,SUP0017,True
P00328,SUP0044,True
P00329,SUP0040,True
P00330,SUP0033,True
P00331,SUP0019,True
P00332,SUP0027,True
P00333,SUP0022,True
P00334,SUP0003,True
P00335,SUP0010,True
P00336,SUP0036,True
P00337,SUP0011,True
P00338,SUP0046,True
P00339,SUP0025,True
P00340,SUP0011,True
P00341,SUP0042,True
P00342,SUP0038,True
P00343,SUP0012,True
P00344,SUP0046,True
P00345,SUP0010,True
P00346,SUP0009,True
P00347,SUP0041,True
P00348,SUP0034,True
P00349,SUP0027,True
P00350,SUP0046,True
P00351,SUP0016,True
P00352,SUP0030,True
P00353,SUP0002,True
P00354,SUP0020,True
P00355,SUP0028,True
P00356,SUP0012,True
P00357,SUP0027,True
P00358,SUP0020,True
P00359,SUP0041,True
P00360,SUP0009,True
P00361,SUP0044,True
P00362,SUP0016,True
P00363,SUP0040,True
P00364,SUP0015,True
P00365,SUP0002,True
P00366,SUP0044,True
P00367,SUP0024,True
P00368,SUP0011,True
P00369,SUP0049,True
P00370,SUP0013,True
P00371,SUP0038,True
P00372,SUP0021,True
P00373,SUP0026,True
P00374,SUP0017,True
P00375,SUP0032,True
P00376,SUP0039,True
P00377,SUP0040,True
P00378,SUP0005,True
P00379,SUP0026,True
P00380,SUP0015,True
P00381,SUP0037,True
P00382,SUP0045,True
P00383,SUP0006,True
P00384,SUP0025,True
P00385,SUP0043,True
P00386,SUP0027,True
P00387,SUP0017,True
P00388,SUP0029,True
P00389,SUP0040,True
P00390,SUP0030,True
P00391,SUP0049,True
P00392,SUP0023,True
P00393,SUP0014,True
P00394,SUP0018,True
P00395,SUP0013,True
P00396,SUP0014,True
P00397,SUP0001,True
P00398,SUP0010,True
P00399,SUP0001,True
P00400,SUP0002,True
P00401,SUP0049,True
P00402,SUP0019,True
P00403,SUP0048,True
P00404,SUP0046,True
P00405,SUP0041,True
P00406,SUP0033,True
P00407,SUP0031,True
P00408,SUP0029,True
P00409,SUP0042,True
P00410,SUP0023,True
P00411,SUP0039,True
P00412,SUP0033,True
P00413,SUP0025,True
P00414,SUP0003,True
P00415,SUP0027,True
P00416,SUP0018,True
P00417,SUP0028,True
P00418,SUP0012,True
P00419,SUP0028,True
P00420,SUP0045,True
P00421,SUP0026,True
P00422,SUP0007,True
P00423,SUP0011,True
P00424,SUP0004,True
P00425,SUP0014,True
P00426,SUP0034,True
P00427,SUP0038,True
P00428,SUP0011,True
P00429,SUP0009,True
P00430,SUP0041,True
P00431,SUP0044,True
P00432,SUP0017,True
P00433,SUP0003,True
P00434,SUP0010,True
P00435,SUP0005,True
P00436,SUP0004,True
P00437,SUP0026,True
P00438,SUP0032,True
P00439,SUP0015,True
P00440,SUP0022,True
P00441,SUP0014,True
P00442,SUP0017,True
P00443,SUP0021,True
P00444,SUP0020,True
P00445,SUP0020,True
P00446,SUP0036,True
P00447,SUP0005,True
P00448,SUP0010,True
P00449,SUP0032,True
P00450,SUP0038,True
P00451,SUP0007,True
P00452,SUP0037,True
P00453,SUP0016,True
P00454,SUP0019,True
P00455,SUP0027,True
P00456,SUP0033,True
P00457,SUP0019,True
P00458,SUP0037,True
P00459,SUP0035,True
P00460,SUP0012,True
P00461,SUP0023,True
P00462,SUP0003,True
P00463,SUP0043,True
P00464,SUP0013,True
P00465,SUP0021,True
P00466,SUP0045,True
P00467,SUP0033,True
P00468,SUP0035,True
P00469,SUP0023,True
P00470,SUP0050,True
P00471,SUP0026,True
P00472,SUP0013,True
P00473,SUP0012,True
P00474,SUP0039,True
P00475,SUP0039,True
P00476,SUP0038,True
P00477,SUP0015,True
P00478,SUP0041,True
P00479,SUP0011,True
P00480,SUP0002,True
P00481,SUP0014,True
P00482,SUP0016,True
P00483,SUP0038,True
P00484,SUP0020,True
P00485,SUP0034,True
P00486,SUP0012,True
P00487,SUP0045,True
P00488,SUP0029,True
P00489,SUP0038,True
P00490,SUP0025,True
P00491,SUP0010,True
P00492,SUP0046,True
P00493,SUP0006,True
P00494,SUP0048,True
P00495,SUP0018,True
P00496,SUP0027,True
P00497,SUP0011,True
P00498,SUP0038,True
P00499,SUP0018,True
P00500,SUP0038,True
