order_id,customer_id,order_timestamp,channel,store_id,order_status,source_system
O0000000034,C0000015,2025-09-17 19:51:34,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000035,C0000015,2025-11-23 13:37:48,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000036,C0000015,2025-12-24 08:16:09,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000037,C0000017,2025-12-18 17:04:13,MOBILE,,COMPLETED,MOBILE_APP
O0000000038,C0000017,2025-12-21 16:07:52,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000039,C0000018,2025-12-02 21:29:01,STORE,S027,COMPLETED,POS_MODERN
O0000000040,C0000018,2025-12-05 10:01:23,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000041,C0000018,2025-12-12 16:52:00,MOBILE,,COMPLETED,MOBILE_APP
O0000000042,C0000018,2025-12-22 11:47:55,STORE,S022,COMPLETED,POS_MODERN
O0000000043,C0000018,2025-12-22 18:14:12,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000044,C0000018,2025-12-27 14:18:27,STORE,S011,COMPLETED,POS_LEGACY
O0000000045,C0000019,2025-09-15 10:38:18,STORE,S002,COMPLETED,POS_MODERN
O0000000046,C0000021,2025-11-17 11:38:44,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000047,C0000022,2025-08-30 19:38:42,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000048,C0000022,2025-10-08 10:37:43,STORE,S012,COMPLETED,POS_LEGACY
O0000000049,C0000022,2025-11-06 20:45:44,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000050,C0000022,2025-11-30 16:21:30,STORE,S023,CANCELLED,POS_MODERN
O0000000051,C0000022,2025-12-08 17:09:27,STORE,S026,COMPLETED,POS_MODERN
O0000000052,C0000023,2024-04-04 10:55:00,MOBILE,,COMPLETED,MOBILE_APP
O0000000053,C0000023,2024-05-29 08:37:53,STORE,S028,COMPLETED,POS_MODERN
O0000000054,C0000023,2024-07-25 13:42:15,ECOMMERCE,,CANCELLED,ECOM_V2
O0000000055,C0000023,2024-08-14 13:38:02,STORE,S005,COMPLETED,POS_LEGACY
O0000000056,C0000023,2025-07-16 08:34:57,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000057,C0000024,2024-10-24 08:09:02,MOBILE,,COMPLETED,MOBILE_APP
O0000000058,C0000024,2024-12-17 17:10:43,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000059,C0000024,2025-04-30 11:05:20,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000060,C0000025,2025-06-24 08:38:05,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000061,C0000025,2025-07-08 15:29:59,STORE,S012,COMPLETED,POS_MODERN
O0000000062,C0000025,2025-07-14 11:19:55,STORE,S028,COMPLETED,POS_MODERN
O0000000063,C0000025,2025-07-14 19:43:40,STORE,S002,COMPLETED,POS_MODERN
O0000000064,C0000025,2025-09-25 21:37:27,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000065,C0000025,2025-10-18 20:19:59,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000066,C0000025,2025-11-09 18:31:14,STORE,S015,COMPLETED,POS_MODERN
O0000000067,C0000025,2025-12-02 20:17:21,STORE,S008,COMPLETED,POS_LEGACY
O0000000068,C0000025,2025-12-13 16:00:29,STORE,S011,COMPLETED,POS_MODERN
O0000000069,C0000026,2025-10-28 20:55:38,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000070,C0000026,2025-11-02 16:08:02,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000071,C0000026,2025-11-07 12:54:59,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000072,C0000027,2025-08-16 18:21:21,STORE,S015,COMPLETED,POS_MODERN
O0000000073,C0000028,2025-03-31 20:46:06,MOBILE,,COMPLETED,MOBILE_APP
O0000000074,C0000029,2025-10-02 17:50:51,STORE,S003,COMPLETED,POS_LEGACY
O0000000075,C0000029,2025-11-02 18:15:47,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000076,C0000029,2025-11-09 15:08:06,STORE,S008,COMPLETED,POS_LEGACY
O0000000077,C0000029,2025-12-05 11:03:45,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000078,C0000029,2025-12-13 14:02:18,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000079,C0000030,2025-12-09 21:01:00,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000080,C0000030,2025-12-16 09:39:16,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000081,C0000030,2025-12-20 17:40:42,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000082,C0000030,2025-12-22 09:24:22,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000083,C0000030,2025-12-22 10:35:35,MOBILE,,COMPLETED,MOBILE_APP
O0000000084,C0000030,2025-12-27 08:39:16,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000085,C0000030,2025-12-29 20:45:29,STORE,S006,COMPLETED,POS_MODERN
O0000000086,C0000031,2025-07-27 10:18:33,STORE,S002,COMPLETED,POS_MODERN
O0000000087,C0000031,2025-12-22 14:41:22,STORE,S011,COMPLETED,POS_LEGACY
O0000000088,C0000033,2025-06-22 09:02:38,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000089,C0000033,2025-07-23 11:24:28,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000090,C0000034,2024-03-06 09:31:42,STORE,S022,COMPLETED,POS_MODERN
O0000000091,C0000034,2024-11-01 14:43:40,ECOMMERCE,,CANCELLED,ECOM_V2
O0000000092,C0000034,2024-12-01 14:38:21,STORE,S004,COMPLETED,POS_MODERN
O0000000093,C0000034,2024-12-20 21:32:23,STORE,S001,COMPLETED,POS_MODERN
O0000000094,C0000034,2024-12-22 09:13:49,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000095,C0000034,2025-05-05 08:53:40,MOBILE,,COMPLETED,MOBILE_APP
O0000000096,C0000036,2025-11-30 19:34:26,STORE,S006,COMPLETED,POS_LEGACY
O0000000097,C0000036,2025-12-13 08:54:48,STORE,S023,COMPLETED,POS_LEGACY
O0000000098,C0000036,2025-12-24 16:44:37,STORE,S028,COMPLETED,POS_LEGACY
O0000000099,C0000036,2025-12-29 12:27:18,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000100,C0000037,2025-06-14 09:51:08,STORE,S013,COMPLETED,POS_LEGACY
O0000000101,C0000037,2025-07-14 11:09:40,STORE,S018,COMPLETED,POS_LEGACY
O0000000102,C0000037,2025-08-03 16:40:23,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000103,C0000037,2025-08-08 15:59:10,STORE,S003,COMPLETED,POS_MODERN
O0000000104,C0000038,2024-06-26 15:17:29,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000105,C0000038,2025-01-02 20:47:47,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000106,C0000039,2024-12-01 10:04:17,MOBILE,,COMPLETED,MOBILE_APP
O0000000107,C0000039,2024-12-14 08:30:41,STORE,S016,COMPLETED,POS_MODERN
O0000000108,C0000039,2025-04-13 15:45:27,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000109,C0000039,2025-04-18 08:35:06,MOBILE,,COMPLETED,MOBILE_APP
O0000000110,C0000039,2025-10-17 14:01:53,STORE,S012,COMPLETED,POS_MODERN
O0000000111,C0000039,2025-11-13 18:41:19,MOBILE,,COMPLETED,MOBILE_APP
O0000000112,C0000040,2024-03-30 13:33:55,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000113,C0000040,2024-05-10 13:30:22,STORE,S011,COMPLETED,POS_MODERN
O0000000114,C0000040,2024-07-24 16:56:37,STORE,S006,COMPLETED,POS_LEGACY
O0000000115,C0000040,2024-08-19 09:40:28,MOBILE,,COMPLETED,MOBILE_APP
O0000000116,C0000040,2024-11-12 17:11:00,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000117,C0000040,2024-11-19 21:30:09,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000118,C0000040,2024-11-20 21:51:59,STORE,S010,COMPLETED,POS_MODERN
O0000000119,C0000040,2025-06-01 14:32:27,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000120,C0000040,2025-06-14 20:08:43,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000121,C0000040,2025-09-27 21:14:07,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000122,C0000041,2024-10-14 13:29:33,STORE,S018,COMPLETED,POS_LEGACY
O0000000123,C0000041,2024-11-07 17:27:39,STORE,S013,COMPLETED,POS_MODERN
O0000000124,C0000041,2025-07-12 18:21:33,MOBILE,,COMPLETED,MOBILE_APP
O0000000125,C0000041,2025-07-12 21:23:19,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000126,C0000041,2025-07-13 10:57:09,STORE,S009,COMPLETED,POS_MODERN
O0000000127,C0000041,2025-08-16 12:08:04,STORE,S002,COMPLETED,POS_LEGACY
O0000000128,C0000041,2025-10-03 21:14:21,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000129,C0000041,2025-12-11 19:29:51,ECOMMERCE,,CANCELLED,ECOM_V2
O0000000130,C0000045,2025-11-03 08:21:01,STORE,S010,COMPLETED,POS_MODERN
O0000000131,C0000045,2025-11-23 10:00:10,STORE,S028,COMPLETED,POS_LEGACY
O0000000132,C0000045,2025-11-24 13:55:41,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000133,C0000045,2025-12-11 08:07:57,STORE,S023,COMPLETED,POS_MODERN
O0000000134,C0000045,2025-12-12 08:40:38,STORE,S029,COMPLETED,POS_MODERN
O0000000135,C0000045,2025-12-14 20:44:44,MOBILE,,COMPLETED,MOBILE_APP
O0000000136,C0000047,2025-08-09 21:17:43,MOBILE,,COMPLETED,MOBILE_APP
O0000000137,C0000047,2025-09-06 21:46:52,STORE,S018,COMPLETED,POS_MODERN
O0000000138,C0000047,2025-09-26 20:41:43,STORE,S005,COMPLETED,POS_MODERN
O0000000139,C0000047,2025-10-02 10:43:08,STORE,S016,COMPLETED,POS_LEGACY
O0000000140,C0000047,2025-10-09 09:08:25,MOBILE,,COMPLETED,MOBILE_APP
O0000000141,C0000047,2025-10-11 15:46:43,STORE,S023,COMPLETED,POS_LEGACY
O0000000142,C0000047,2025-12-17 11:04:43,STORE,S011,COMPLETED,POS_LEGACY
O0000000143,C0000049,2024-04-11 13:06:28,STORE,S020,COMPLETED,POS_MODERN
O0000000144,C0000049,2024-04-15 14:52:21,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000145,C0000049,2024-09-19 14:23:14,STORE,S011,COMPLETED,POS_MODERN
O0000000146,C0000049,2025-09-17 16:30:15,STORE,S010,COMPLETED,POS_LEGACY
O0000000147,C0000050,2025-04-26 18:27:03,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000148,C0000050,2025-05-28 16:43:09,STORE,S002,COMPLETED,POS_LEGACY
O0000000149,C0000051,2025-12-10 14:56:13,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000150,C0000052,2025-12-17 09:12:42,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000151,C0000053,2024-12-10 17:04:43,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000152,C0000053,2025-02-09 20:12:09,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000153,C0000053,2025-02-17 20:53:50,STORE,S017,COMPLETED,POS_LEGACY
O0000000154,C0000053,2025-02-25 13:43:31,STORE,S009,COMPLETED,POS_LEGACY
O0000000155,C0000053,2025-05-26 09:39:01,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000156,C0000053,2025-09-06 17:03:57,STORE,S024,COMPLETED,POS_MODERN
O0000000157,C0000053,2025-10-20 08:32:55,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000158,C0000053,2025-11-18 08:38:00,MOBILE,,COMPLETED,MOBILE_APP
O0000000159,C0000053,2025-11-21 09:01:16,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000160,C0000053,2025-12-05 10:39:01,STORE,S026,COMPLETED,POS_LEGACY
O0000000161,C0000054,2025-11-26 10:35:59,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000162,C0000055,2025-12-17 17:45:37,STORE,S009,COMPLETED,POS_MODERN
O0000000163,C0000057,2025-12-18 17:35:22,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000164,C0000057,2025-12-20 08:27:19,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000165,C0000058,2025-06-13 08:54:36,STORE,S020,COMPLETED,POS_MODERN
O0000000166,C0000059,2024-08-29 19:52:24,STORE,S007,COMPLETED,POS_MODERN
O0000000167,C0000059,2024-12-03 13:35:49,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000168,C0000059,2025-01-12 18:07:30,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000169,C0000059,2025-02-03 20:51:14,STORE,S012,COMPLETED,POS_MODERN
O0000000170,C0000059,2025-07-02 10:57:32,STORE,S003,COMPLETED,POS_MODERN
O0000000171,C0000060,2024-06-17 17:52:58,STORE,S025,COMPLETED,POS_MODERN
O0000000172,C0000060,2024-08-02 17:19:10,STORE,S001,COMPLETED,POS_MODERN
O0000000173,C0000060,2024-10-14 17:19:58,STORE,S017,COMPLETED,POS_MODERN
O0000000174,C0000060,2024-10-16 11:43:31,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000175,C0000060,2024-10-23 19:11:29,STORE,S002,COMPLETED,POS_MODERN
O0000000176,C0000060,2025-06-09 10:21:32,STORE,S015,COMPLETED,POS_LEGACY
O0000000177,C0000060,2025-08-28 09:03:36,STORE,S014,COMPLETED,POS_LEGACY
O0000000178,C0000060,2025-09-10 16:08:34,STORE,S018,COMPLETED,POS_MODERN
O0000000179,C0000060,2025-10-25 13:52:12,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000180,C0000063,2025-12-23 11:15:04,STORE,S009,COMPLETED,POS_LEGACY
O0000000181,C0000064,2025-05-25 10:40:11,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000182,C0000068,2025-04-03 12:01:56,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000183,C0000068,2025-04-08 13:40:40,STORE,S021,COMPLETED,POS_MODERN
O0000000184,C0000068,2025-07-04 11:07:46,STORE,S010,COMPLETED,POS_LEGACY
O0000000185,C0000068,2025-09-26 15:58:03,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000186,C0000068,2025-09-27 12:30:44,STORE,S028,COMPLETED,POS_MODERN
O0000000187,C0000068,2025-11-04 16:18:21,STORE,S013,COMPLETED,POS_LEGACY
O0000000188,C0000068,2025-12-05 17:26:15,STORE,S028,COMPLETED,POS_MODERN
O0000000189,C0000068,2025-12-31 16:02:30,STORE,S029,COMPLETED,POS_MODERN
O0000000190,C0000069,2024-12-25 13:16:17,MOBILE,,COMPLETED,MOBILE_APP
O0000000191,C0000069,2025-03-21 15:32:41,STORE,S026,COMPLETED,POS_LEGACY
O0000000192,C0000069,2025-06-03 08:21:16,STORE,S023,COMPLETED,POS_LEGACY
O0000000193,C0000069,2025-06-27 10:32:09,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000194,C0000069,2025-07-24 10:14:55,STORE,S022,COMPLETED,POS_LEGACY
O0000000195,C0000069,2025-09-06 11:34:46,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000196,C0000069,2025-09-17 12:57:02,STORE,S008,COMPLETED,POS_MODERN
O0000000197,C0000069,2025-09-24 15:25:19,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000198,C0000069,2025-11-24 20:37:48,STORE,S021,COMPLETED,POS_MODERN
O0000000199,C0000069,2025-12-09 13:48:28,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000200,C0000070,2025-08-11 18:14:35,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000201,C0000070,2025-08-18 11:07:09,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000202,C0000070,2025-08-19 16:11:05,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000203,C0000070,2025-08-23 09:26:28,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000204,C0000070,2025-08-30 09:56:21,STORE,S006,COMPLETED,POS_LEGACY
O0000000205,C0000072,2025-07-23 11:54:13,MOBILE,,COMPLETED,MOBILE_APP
O0000000206,C0000072,2025-07-29 18:37:05,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000207,C0000072,2025-08-03 14:41:14,STORE,S014,COMPLETED,POS_MODERN
O0000000208,C0000072,2025-08-08 18:42:02,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000209,C0000072,2025-08-13 20:43:12,MOBILE,,COMPLETED,MOBILE_APP
O0000000210,C0000072,2025-08-20 08:15:04,STORE,S026,COMPLETED,POS_MODERN
O0000000211,C0000073,2025-04-15 17:23:53,MOBILE,,COMPLETED,MOBILE_APP
O0000000212,C0000074,2025-01-31 15:39:41,STORE,S006,COMPLETED,POS_MODERN
O0000000213,C0000074,2025-03-15 15:28:39,STORE,S022,COMPLETED,POS_LEGACY
O0000000214,C0000074,2025-08-11 20:39:33,STORE,S018,COMPLETED,POS_MODERN
O0000000215,C0000074,2025-08-19 14:19:30,STORE,S012,COMPLETED,POS_MODERN
O0000000216,C0000074,2025-10-15 19:39:00,STORE,S026,COMPLETED,POS_MODERN
O0000000217,C0000074,2025-10-24 14:06:07,MOBILE,,COMPLETED,MOBILE_APP
O0000000218,C0000074,2025-11-16 15:49:49,MOBILE,,COMPLETED,MOBILE_APP
O0000000219,C0000075,2024-12-09 18:51:16,STORE,S008,COMPLETED,POS_LEGACY
O0000000220,C0000075,2025-04-27 08:54:26,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000221,C0000075,2025-05-28 16:02:20,STORE,S006,COMPLETED,POS_MODERN
O0000000222,C0000076,2025-11-18 09:31:58,STORE,S029,COMPLETED,POS_MODERN
O0000000223,C0000077,2025-10-11 17:00:52,STORE,S024,COMPLETED,POS_MODERN
O0000000224,C0000078,2024-11-25 13:47:24,STORE,S015,COMPLETED,POS_MODERN
O0000000225,C0000078,2024-11-26 14:12:35,STORE,S016,COMPLETED,POS_LEGACY
O0000000226,C0000078,2025-01-19 14:21:36,MOBILE,,COMPLETED,MOBILE_APP
O0000000227,C0000078,2025-02-04 20:05:06,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000228,C0000078,2025-02-17 08:43:57,STORE,S010,COMPLETED,POS_MODERN
O0000000229,C0000078,2025-04-21 15:06:54,STORE,S020,COMPLETED,POS_MODERN
O0000000230,C0000078,2025-09-10 19:55:36,STORE,S025,COMPLETED,POS_MODERN
O0000000231,C0000078,2025-09-26 21:17:57,STORE,S016,COMPLETED,POS_MODERN
O0000000232,C0000078,2025-11-12 18:21:32,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000233,C0000078,2025-12-26 11:27:53,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000234,C0000079,2025-12-21 10:25:42,STORE,S016,COMPLETED,POS_LEGACY
O0000000235,C0000079,2025-12-21 11:24:35,STORE,S006,COMPLETED,POS_MODERN
O0000000236,C0000079,2025-12-22 12:53:08,STORE,S003,COMPLETED,POS_LEGACY
O0000000237,C0000079,2025-12-23 16:24:26,STORE,S004,COMPLETED,POS_MODERN
O0000000238,C0000079,2025-12-23 17:07:42,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000239,C0000079,2025-12-27 12:11:59,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000240,C0000079,2025-12-28 16:57:34,STORE,S028,COMPLETED,POS_MODERN
O0000000241,C0000079,2025-12-30 10:47:31,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000242,C0000079,2025-12-30 19:05:02,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000243,C0000079,2025-12-31 10:01:59,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000244,C0000082,2025-07-20 21:47:32,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000245,C0000082,2025-08-13 21:11:32,STORE,S010,COMPLETED,POS_MODERN
O0000000246,C0000083,2024-05-21 14:00:53,STORE,S017,COMPLETED,POS_MODERN
O0000000247,C0000083,2024-10-09 18:54:00,STORE,S012,COMPLETED,POS_LEGACY
O0000000248,C0000083,2025-09-22 16:06:38,STORE,S001,COMPLETED,POS_MODERN
O0000000249,C0000085,2025-08-21 17:13:45,MOBILE,,COMPLETED,MOBILE_APP
O0000000250,C0000086,2025-05-18 13:37:17,STORE,S023,COMPLETED,POS_MODERN
O0000000251,C0000086,2025-06-06 21:07:31,STORE,S001,COMPLETED,POS_MODERN
O0000000252,C0000086,2025-06-07 11:51:56,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000253,C0000086,2025-06-22 10:03:56,MOBILE,,COMPLETED,MOBILE_APP
O0000000254,C0000086,2025-06-29 08:48:12,STORE,S012,COMPLETED,POS_MODERN
O0000000255,C0000086,2025-07-14 16:20:00,STORE,S019,COMPLETED,POS_MODERN
O0000000256,C0000086,2025-07-17 18:04:41,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000257,C0000086,2025-07-18 14:39:24,STORE,S015,COMPLETED,POS_MODERN
O0000000258,C0000086,2025-07-21 21:04:10,MOBILE,,COMPLETED,MOBILE_APP
O0000000259,C0000086,2025-07-22 21:04:03,MOBILE,,COMPLETED,MOBILE_APP
O0000000260,C0000086,2025-08-01 10:41:24,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000261,C0000086,2025-08-03 21:31:38,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000262,C0000086,2025-08-04 15:55:20,STORE,S026,COMPLETED,POS_MODERN
O0000000263,C0000086,2025-08-08 20:25:48,STORE,S010,COMPLETED,POS_MODERN
O0000000264,C0000086,2025-08-09 19:32:06,ECOMMERCE,,CANCELLED,ECOM_V2
O0000000265,C0000086,2025-08-10 19:26:36,STORE,S019,COMPLETED,POS_MODERN
O0000000266,C0000086,2025-08-24 12:56:36,STORE,S002,COMPLETED,POS_MODERN
O0000000267,C0000086,2025-09-13 16:44:46,STORE,S007,COMPLETED,POS_MODERN
O0000000268,C0000086,2025-09-20 11:14:28,MOBILE,,COMPLETED,MOBILE_APP
O0000000269,C0000086,2025-10-05 20:19:49,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000270,C0000086,2025-10-09 20:30:17,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000271,C0000086,2025-10-10 13:00:43,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000272,C0000086,2025-10-12 14:56:25,MOBILE,,COMPLETED,MOBILE_APP
O0000000273,C0000086,2025-10-13 10:43:01,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000274,C0000086,2025-10-25 12:32:20,STORE,S005,COMPLETED,POS_MODERN
O0000000275,C0000086,2025-10-27 17:24:47,MOBILE,,COMPLETED,MOBILE_APP
O0000000276,C0000086,2025-11-01 13:59:20,STORE,S006,COMPLETED,POS_MODERN
O0000000277,C0000086,2025-11-01 16:38:25,STORE,S018,COMPLETED,POS_MODERN
O0000000278,C0000086,2025-11-04 16:28:59,MOBILE,,COMPLETED,MOBILE_APP
O0000000279,C0000086,2025-11-07 13:20:26,STORE,S020,COMPLETED,POS_MODERN
O0000000280,C0000086,2025-12-07 08:21:11,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000281,C0000086,2025-12-11 10:24:58,STORE,S022,COMPLETED,POS_MODERN
O0000000282,C0000086,2025-12-15 11:43:40,STORE,S017,COMPLETED,POS_LEGACY
O0000000283,C0000086,2025-12-18 10:32:56,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000284,C0000087,2025-11-12 13:19:58,STORE,S014,COMPLETED,POS_MODERN
O0000000285,C0000088,2025-12-26 10:44:24,STORE,S017,COMPLETED,POS_MODERN
O0000000286,C0000089,2025-02-14 16:13:58,STORE,S015,COMPLETED,POS_MODERN
O0000000287,C0000089,2025-02-26 13:45:25,STORE,S001,COMPLETED,POS_LEGACY
O0000000288,C0000089,2025-04-09 19:01:14,MOBILE,,COMPLETED,MOBILE_APP
O0000000289,C0000089,2025-04-15 08:16:57,STORE,S003,COMPLETED,POS_MODERN
O0000000290,C0000089,2025-05-15 08:59:07,STORE,S023,COMPLETED,POS_MODERN
O0000000291,C0000089,2025-06-06 13:51:44,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000292,C0000089,2025-06-07 14:22:49,MOBILE,,COMPLETED,MOBILE_APP
O0000000293,C0000089,2025-07-22 12:17:37,ECOMMERCE,,COMPLETED,ECOM_V2
