stock_count_id,count_date,inventory_snapshot_id,store_id,product_id,system_qty,physical_qty,variance_units,variance_pct
SC00000047,2025-12-31,INV00012725,S026,P00225,1,1,0,0.0
SC00000048,2025-12-31,INV00000469,S001,P00469,16,16,0,0.0
SC00000049,2025-12-31,INV00004024,S009,P00024,9,9,0,0.0
SC00000050,2025-12-31,INV00001488,S003,P00488,7,7,0,0.0
SC00000051,2025-12-31,INV00010787,S022,P00287,2,2,0,0.0
SC00000052,2025-12-31,INV00001826,S004,P00326,7,7,0,0.0
SC00000053,2025-12-31,INV00013090,S027,P00090,5,5,0,0.0
SC00000054,2025-12-31,INV00003696,S008,P00196,9,9,0,0.0
SC00000055,2025-12-31,INV00005353,S011,P00353,4,4,0,0.0
SC00000056,2025-12-31,INV00009403,S019,P00403,12,12,0,0.0
SC00000057,2025-12-31,INV00008479,S017,P00479,7,7,0,0.0
SC00000058,2025-12-31,INV00008205,S017,P00205,5,5,0,0.0
SC00000059,2025-12-31,INV00013141,S027,P00141,7,7,0,0.0
SC00000060,2025-12-31,INV00006646,S014,P00146,11,11,0,0.0
SC00000061,2025-12-31,INV00002654,S006,P00154,7,7,0,0.0
SC00000062,2025-12-31,INV00009983,S020,P00483,5,5,0,0.0
SC00000063,2025-12-31,INV00004158,S009,P00158,4,4,0,0.0
SC00000064,2025-12-31,INV00003046,S007,P00046,1,1,0,0.0
SC00000065,2025-12-31,INV00009380,S019,P00380,4,4,0,0.0
SC00000066,2025-12-31,INV00000373,S001,P00373,1,1,0,0.0
SC00000067,2025-12-31,INV00013134,S027,P00134,6,6,0,0.0
SC00000068,2025-12-31,INV00011164,S023,P00164,5,5,0,0.0
SC00000069,2025-12-31,INV00014410,S029,P00410,4,4,0,0.0
SC00000070,2025-12-31,INV00008069,S017,P00069,5,5,0,0.0
SC00000071,2025-12-31,INV00007160,S015,P00160,4,4,0,0.0
SC00000072,2025-12-31,INV00001466,S003,P00466,1,1,0,0.0
SC00000073,2025-12-31,INV00014035,S029,P00035,9,9,0,0.0
SC00000074,2025-12-31,INV00008623,S018,P00123,7,7,0,0.0
SC00000075,2025-12-31,INV00010623,S022,P00123,4,4,0,0.0
SC00000076,2025-12-31,INV00005525,S012,P00025,5,5,0,0.0
SC00000077,2025-12-31,INV00000545,S002,P00045,4,4,0,0.0
SC00000078,2025-12-31,INV00006932,S014,P00432,2,2,0,0.0
SC00000079,2025-12-31,INV00007212,S015,P00212,3,3,0,0.0
SC00000080,2025-12-31,INV00002794,S006,P00294,8,8,0,0.0
SC00000081,2025-12-31,INV00004933,S010,P00433,2,2,0,0.0
SC00000082,2025-12-31,INV00002778,S006,P00278,10,10,0,0.0
SC00000083,2025-12-31,INV00013849,S028,P00349,6,6,0,0.0
SC00000084,2025-12-31,INV00014103,S029,P00103,3,3,0,0.0
SC00000085,2025-12-31,INV00010437,S021,P00437,7,7,0,0.0
SC00000086,2025-12-31,INV00003050,S007,P00050,3,3,0,0.0
SC00000087,2025-12-31,INV00010226,S021,P00226,1,1,0,0.0
SC00000088,2025-12-31,INV00009429,S019,P00429,20,19,-1,-0.05
SC00000089,2025-12-31,INV00004139,S009,P00139,3,3,0,0.0
SC00000090,2025-12-31,INV00008432,S017,P00432,2,2,0,0.0
SC00000091,2025-12-31,INV00000422,S001,P00422,5,5,0,0.0
SC00000092,2025-12-31,INV00006151,S013,P00151,3,3,0,0.0
SC00000093,2025-12-31,INV00004828,S010,P00328,7,7,0,0.0
SC00000094,2025-12-31,INV00006202,S013,P00202,2,2,0,0.0
SC00000095,2025-12-31,INV00005290,S011,P00290,4,4,0,0.0
SC00000096,2025-12-31,INV00013160,S027,P00160,2,2,0,0.0
SC00000097,2025-12-31,INV00007591,S016,P00091,12,12,0,0.0
SC00000098,2025-12-31,INV00001989,S004,P00489,10,10,0,0.0
SC00000099,2025-12-31,INV00007120,S015,P00120,3,3,0,0.0
SC00000100,2025-12-31,INV00008352,S017,P00352,2,2,0,0.0
SC00000101,2025-12-31,INV00007872,S016,P00372,15,15,0,0.0
SC00000102,2025-12-31,INV00005996,S012,P00496,6,6,0,0.0
SC00000103,2025-12-31,INV00004441,S009,P00441,9,9,0,0.0
SC00000104,2025-12-31,INV00006267,S013,P00267,2,2,0,0.0
SC00000105,2025-12-31,INV00004596,S010,P00096,1,1,0,0.0
SC00000106,2025-12-31,INV00008268,S017,P00268,3,3,0,0.0
SC00000107,2025-12-31,INV00006197,S013,P00197,4,4,0,0.0
SC00000108,2025-12-31,INV00000730,S002,P00230,3,3,0,0.0
SC00000109,2025-12-31,INV00008262,S017,P00262,5,5,0,0.0
SC00000110,2025-12-31,INV00002721,S006,P00221,1,1,0,0.0
SC00000111,2025-12-31,INV00007575,S016,P00075,2,2,0,0.0
SC00000112,2025-12-31,INV00012439,S025,P00439,9,9,0,0.0
SC00000113,2025-12-31,INV00005467,S011,P00467,2,2,0,0.0
SC00000114,2025-12-31,INV00010413,S021,P00413,4,4,0,0.0
SC00000115,2025-12-31,INV00011554,S024,P00054,2,2,0,0.0
SC00000116,2025-12-31,INV00008207,S017,P00207,2,2,0,0.0
SC00000117,2025-12-31,INV00009113,S019,P00113,1,1,0,0.0
SC00000118,2025-12-31,INV00014676,S030,P00176,5,5,0,0.0
SC00000119,2025-12-31,INV00005340,S011,P00340,2,2,0,0.0
SC00000120,2025-12-31,INV00006139,S013,P00139,9,9,0,0.0
SC00000121,2025-12-31,INV00009103,S019,P00103,1,1,0,0.0
SC00000122,2025-12-31,INV00006304,S013,P00304,5,5,0,0.0
SC00000123,2025-12-31,INV00013903,S028,P00403,7,7,0,0.0
SC00000124,2025-12-31,INV00003430,S007,P00430,4,4,0,0.0
SC00000125,2025-12-31,INV00006598,S014,P00098,5,5,0,0.0
SC00000126,2025-12-31,INV00010775,S022,P00275,6,6,0,0.0
SC00000127,2025-12-31,INV00008857,S018,P00357,8,8,0,0.0
SC00000128,2025-12-31,INV00013171,S027,P00171,9,9,0,0.0
SC00000129,2025-12-31,INV00012246,S025,P00246,4,4,0,0.0
SC00000130,2025-12-31,INV00014870,S030,P00370,1,1,0,0.0
SC00000131,2025-12-31,INV00012163,S025,P00163,6,6,0,0.0
SC00000132,2025-12-31,INV00007945,S016,P00445,10,10,0,0.0
SC00000133,2025-12-31,INV00000477,S001,P00477,6,6,0,0.0
SC00000134,2025-12-31,INV00014154,S029,P00154,17,17,0,0.0
SC00000135,2025-12-31,INV00000293,S001,P00293,10,10,0,0.0
SC00000136,2025-12-31,INV00011651,S024,P00151,1,1,0,0.0
SC00000137,2025-12-31,INV00000304,S001,P00304,6,6,0,0.0
SC00000138,2025-12-31,INV00007075,S015,P00075,4,4,0,0.0
SC00000139,2025-12-31,INV00000164,S001,P00164,5,5,0,0.0
SC00000140,2025-12-31,INV00010144,S021,P00144,8,8,0,0.0
SC00000141,2025-12-31,INV00002227,S005,P00227,6,6,0,0.0
SC00000142,2025-12-31,INV00002047,S005,P00047,5,5,0,0.0
SC00000143,2025-12-31,INV00003231,S007,P00231,1,1,0,0.0
SC00000144,2025-12-31,INV00008380,S017,P00380,1,1,0,0.0
SC00000145,2025-12-31,INV00008231,S017,P00231,13,13,0,0.0
SC00000146,2025-12-31,INV00011728,S024,P00228,3,3,0,0.0
SC00000147,2025-12-31,INV00014050,S029,P00050,3,3,0,0.0
SC00000148,2025-12-31,INV00009301,S019,P00301,4,4,0,0.0
SC00000149,2025-12-31,INV00010550,S022,P00050,2,2,0,0.0
SC00000150,2025-12-31,INV00014228,S029,P00228,14,14,0,0.0
SC00000151,2025-12-31,INV00009608,S020,P00108,6,6,0,0.0
SC00000152,2025-12-31,INV00001804,S004,P00304,9,9,0,0.0
SC00000153,2025-12-31,INV00006149,S013,P00149,5,5,0,0.0
SC00000154,2025-12-31,INV00004170,S009,P00170,9,9,0,0.0
SC00000155,2025-12-31,INV00003949,S008,P00449,6,6,0,0.0
SC00000156,2025-12-31,INV00009147,S019,P00147,2,2,0,0.0
SC00000157,2025-12-31,INV00012415,S025,P00415,13,13,0,0.0
SC00000158,2025-12-31,INV00003401,S007,P00401,3,3,0,0.0
SC00000159,2025-12-31,INV00001249,S003,P00249,1,1,0,0.0
SC00000160,2025-12-31,INV00010942,S022,P00442,1,1,0,0.0
SC00000161,2025-12-31,INV00006474,S013,P00474,5,5,0,0.0
SC00000162,2025-12-31,INV00005722,S012,P00222,12,12,0,0.0
SC00000163,2025-12-31,INV00009531,S020,P00031,1,1,0,0.0
SC00000164,2025-12-31,INV00014925,S030,P00425,7,7,0,0.0
SC00000165,2025-12-31,INV00001337,S003,P00337,2,2,0,0.0
SC00000166,2025-12-31,INV00014642,S030,P00142,1,1,0,0.0
SC00000167,2025-12-31,INV00008696,S018,P00196,2,2,0,0.0
SC00000168,2025-12-31,INV00013367,S027,P00367,6,6,0,0.0
SC00000169,2025-12-31,INV00010451,S021,P00451,1,1,0,0.0
SC00000170,2025-12-31,INV00004737,S010,P00237,4,4,0,0.0
SC00000171,2025-12-31,INV00001907,S004,P00407,1,1,0,0.0
SC00000172,2025-12-31,INV00003065,S007,P00065,8,8,0,0.0
SC00000173,2025-12-31,INV00001621,S004,P00121,2,2,0,0.0
SC00000174,2025-12-31,INV00011971,S024,P00471,1,1,0,0.0
SC00000175,2025-12-31,INV00011837,S024,P00337,4,4,0,0.0
SC00000176,2025-12-31,INV00003061,S007,P00061,1,1,0,0.0
SC00000177,2025-12-31,INV00011638,S024,P00138,3,3,0,0.0
SC00000178,2025-12-31,INV00006165,S013,P00165,5,5,0,0.0
SC00000179,2025-12-31,INV00014618,S030,P00118,9,9,0,0.0
SC00000180,2025-12-31,INV00002066,S005,P00066,6,6,0,0.0
SC00000181,2025-12-31,INV00011243,S023,P00243,6,6,0,0.0
SC00000182,2025-12-31,INV00014710,S030,P00210,19,19,0,0.0
SC00000183,2025-12-31,INV00005923,S012,P00423,4,4,0,0.0
SC00000184,2025-12-31,INV00012686,S026,P00186,7,7,0,0.0
SC00000185,2025-12-31,INV00004845,S010,P00345,5,5,0,0.0
SC00000186,2025-12-31,INV00011801,S024,P00301,7,7,0,0.0
SC00000187,2025-12-31,INV00009791,S020,P00291,4,4,0,0.0
SC00000188,2025-12-31,INV00011793,S024,P00293,2,2,0,0.0
SC00000189,2025-12-31,INV00002443,S005,P00443,3,3,0,0.0
SC00000190,2025-12-31,INV00013364,S027,P00364,3,3,0,0.0
SC00000191,2025-12-31,INV00001473,S003,P00473,5,5,0,0.0
SC00000192,2025-12-31,INV00002793,S006,P00293,8,8,0,0.0
SC00000193,2025-12-31,INV00009467,S019,P00467,3,3,0,0.0
SC00000194,2025-12-31,INV00001265,S003,P00265,4,4,0,0.0
SC00000195,2025-12-31,INV00011031,S023,P00031,9,9,0,0.0
SC00000196,2025-12-31,INV00012301,S025,P00301,2,2,0,0.0
SC00000197,2025-12-31,INV00003141,S007,P00141,4,4,0,0.0
SC00000198,2025-12-31,INV00000039,S001,P00039,4,4,0,0.0
SC00000199,2025-12-31,INV00001597,S004,P00097,1,1,0,0.0
SC00000200,2025-12-31,INV00005011,S011,P00011,13,13,0,0.0
SC00000201,2025-12-31,INV00007415,S015,P00415,2,2,0,0.0
SC00000202,2025-12-31,INV00008871,S018,P00371,5,5,0,0.0
SC00000203,2025-12-31,INV00008863,S018,P00363,9,9,0,0.0
SC00000204,2025-12-31,INV00000063,S001,P00063,6,6,0,0.0
SC00000205,2025-12-31,INV00014145,S029,P00145,1,1,0,0.0
SC00000206,2025-12-31,INV00005591,S012,P00091,2,2,0,0.0
SC00000207,2025-12-31,INV00006520,S014,P00020,3,3,0,0.0
SC00000208,2025-12-31,INV00002900,S006,P00400,1,1,0,0.0
SC00000209,2025-12-31,INV00007774,S016,P00274,14,14,0,0.0
SC00000210,2025-12-31,INV00005319,S011,P00319,2,2,0,0.0
SC00000211,2025-12-31,INV00004636,S010,P00136,11,11,0,0.0
SC00000212,2025-12-31,INV00002013,S005,P00013,9,9,0,0.0
SC00000213,2025-12-31,INV00011930,S024,P00430,3,3,0,0.0
SC00000214,2025-12-31,INV00000011,S001,P00011,7,7,0,0.0
SC00000215,2025-12-31,INV00010815,S022,P00315,4,4,0,0.0
SC00000216,2025-12-31,INV00006706,S014,P00206,9,9,0,0.0
SC00000217,2025-12-31,INV00013424,S027,P00424,2,2,0,0.0
SC00000218,2025-12-31,INV00000344,S001,P00344,2,2,0,0.0
SC00000219,2025-12-31,INV00006553,S014,P00053,4,4,0,0.0
SC00000220,2025-12-31,INV00000035,S001,P00035,2,2,0,0.0
SC00000221,2025-12-31,INV00010110,S021,P00110,3,3,0,0.0
SC00000222,2025-12-31,INV00004137,S009,P00137,2,2,0,0.0
SC00000223,2025-12-31,INV00003881,S008,P00381,1,1,0,0.0
SC00000224,2025-12-31,INV00007124,S015,P00124,3,3,0,0.0
SC00000225,2025-12-31,INV00011536,S024,P00036,2,2,0,0.0
SC00000226,2025-12-31,INV00010523,S022,P00023,4,4,0,0.0
SC00000227,2025-12-31,INV00013543,S028,P00043,12,12,0,0.0
SC00000228,2025-12-31,INV00012921,S026,P00421,4,4,0,0.0
SC00000229,2025-12-31,INV00012658,S026,P00158,6,6,0,0.0
SC00000230,2025-12-31,INV00014175,S029,P00175,8,8,0,0.0
SC00000231,2025-12-31,INV00011767,S024,P00267,3,3,0,0.0
SC00000232,2025-12-31,INV00010022,S021,P00022,10,10,0,0.0
SC00000233,2025-12-31,INV00013130,S027,P00130,7,7,0,0.0
SC00000234,2025-12-31,INV00006305,S013,P00305,2,2,0,0.0
SC00000235,2025-12-31,INV00004537,S010,P00037,2,2,0,0.0
SC00000236,2025-12-31,INV00004175,S009,P00175,4,4,0,0.0
SC00000237,2025-12-31,INV00001983,S004,P00483,4,4,0,0.0
SC00000238,2025-12-31,INV00001202,S003,P00202,2,2,0,0.0
SC00000239,2025-12-31,INV00009065,S019,P00065,4,4,0,0.0
SC00000240,2025-12-31,INV00003082,S007,P00082,6,6,0,0.0
SC00000241,2025-12-31,INV00004438,S009,P00438,1,1,0,0.0
SC00000242,2025-12-31,INV00004693,S010,P00193,2,2,0,0.0
SC00000243,2025-12-31,INV00012665,S026,P00165,4,4,0,0.0
SC00000244,2025-12-31,INV00004554,S010,P00054,3,3,0,0.0
SC00000245,2025-12-31,INV00002473,S005,P00473,1,1,0,0.0
SC00000246,2025-12-31,INV00008385,S017,P00385,6,6,0,0.0
SC00000247,2025-12-31,INV00005244,S011,P00244,7,7,0,0.0
SC00000248,2025-12-31,INV00003369,S007,P00369,1,1,0,0.0
SC00000249,2025-12-31,INV00014409,S029,P00409,10,10,0,0.0
SC00000250,2025-12-31,INV00003432,S007,P00432,7,7,0,0.0
SC00000251,2025-12-31,INV00004401,S009,P00401,2,2,0,0.0
SC00000252,2025-12-31,INV00011330,S023,P00330,5,5,0,0.0
SC00000253,2025-12-31,INV00010332,S021,P00332,13,13,0,0.0
SC00000254,2025-12-31,INV00008758,S018,P00258,2,2,0,0.0
SC00000255,2025-12-31,INV00014319,S029,P00319,1,1,0,0.0
SC00000256,2025-12-31,INV00012970,S026,P00470,6,6,0,0.0
SC00000257,2025-12-31,INV00001230,S003,P00230,16,16,0,0.0
SC00000258,2025-12-31,INV00001156,S003,P00156,6,6,0,0.0
SC00000259,2025-12-31,INV00001485,S003,P00485,2,2,0,0.0
SC00000260,2025-12-31,INV00008625,S018,P00125,5,5,0,0.0
SC00000261,2025-12-31,INV00013848,S028,P00348,5,5,0,0.0
SC00000262,2025-12-31,INV00000533,S002,P00033,3,3,0,0.0
SC00000263,2025-12-31,INV00013956,S028,P00456,13,13,0,0.0
SC00000264,2025-12-31,INV00005817,S012,P00317,6,6,0,0.0
SC00000265,2025-12-31,INV00006369,S013,P00369,8,8,0,0.0
SC00000266,2025-12-31,INV00012085,S025,P00085,4,4,0,0.0
SC00000267,2025-12-31,INV00013819,S028,P00319,3,3,0,0.0
SC00000268,2025-12-31,INV00010695,S022,P00195,1,1,0,0.0
SC00000269,2025-12-31,INV00009794,S020,P00294,3,3,0,0.0
SC00000270,2025-12-31,INV00010139,S021,P00139,3,3,0,0.0
SC00000271,2025-12-31,INV00013579,S028,P00079,8,8,0,0.0
SC00000272,2025-12-31,INV00004664,S010,P00164,5,5,0,0.0
SC00000273,2025-12-31,INV00006409,S013,P00409,3,3,0,0.0
SC00000274,2025-12-31,INV00003224,S007,P00224,12,12,0,0.0
SC00000275,2025-12-31,INV00013623,S028,P00123,3,3,0,0.0
SC00000276,2025-12-31,INV00003058,S007,P00058,25,24,-1,-0.04
SC00000277,2025-12-31,INV00001113,S003,P00113,2,2,0,0.0
SC00000278,2025-12-31,INV00013279,S027,P00279,5,5,0,0.0
SC00000279,2025-12-31,INV00003184,S007,P00184,2,2,0,0.0
SC00000280,2025-12-31,INV00014699,S030,P00199,4,4,0,0.0
SC00000281,2025-12-31,INV00005305,S011,P00305,2,2,0,0.0
SC00000282,2025-12-31,INV00006061,S013,P00061,4,4,0,0.0
SC00000283,2025-12-31,INV00012310,S025,P00310,5,5,0,0.0
SC00000284,2025-12-31,INV00007897,S016,P00397,5,5,0,0.0
SC00000285,2025-12-31,INV00006734,S014,P00234,10,10,0,0.0
SC00000286,2025-12-31,INV00013430,S027,P00430,9,9,0,0.0
SC00000287,2025-12-31,INV00004994,S010,P00494,3,3,0,0.0
SC00000288,2025-12-31,INV00002926,S006,P00426,3,3,0,0.0
SC00000289,2025-12-31,INV00011532,S024,P00032,7,7,0,0.0
SC00000290,2025-12-31,INV00013862,S028,P00362,2,2,0,0.0
SC00000291,2025-12-31,INV00009262,S019,P00262,2,2,0,0.0
SC00000292,2025-12-31,INV00005339,S011,P00339,5,5,0,0.0
SC00000293,2025-12-31,INV00014421,S029,P00421,2,2,0,0.0
SC00000294,2025-12-31,INV00004192,S009,P00192,4,4,0,0.0
SC00000295,2025-12-31,INV00002407,S005,P00407,4,4,0,0.0
SC00000296,2025-12-31,INV00013246,S027,P00246,27,28,1,0.037
SC00000297,2025-12-31,INV00010611,S022,P00111,1,1,0,0.0
SC00000298,2025-12-31,INV00004498,S009,P00498,8,8,0,0.0
SC00000299,2025-12-31,INV00010681,S022,P00181,5,5,0,0.0
SC00000300,2025-12-31,INV00008228,S017,P00228,1,1,0,0.0
SC00000301,2025-12-31,INV00013082,S027,P00082,4,4,0,0.0
SC00000302,2025-12-31,INV00002777,S006,P00277,9,9,0,0.0
SC00000303,2025-12-31,INV00007384,S015,P00384,3,3,0,0.0
SC00000304,2025-12-31,INV00009389,S019,P00389,2,2,0,0.0
SC00000305,2025-12-31,INV00011950,S024,P00450,5,5,0,0.0
SC00000306,2025-12-31,INV00007749,S016,P00249,3,3,0,0.0
SC00000307,2025-12-31,INV00011820,S024,P00320,6,6,0,0.0
SC00000308,2025-12-31,INV00013983,S028,P00483,9,9,0,0.0
SC00000309,2025-12-31,INV00008826,S018,P00326,3,3,0,0.0
SC00000310,2025-12-31,INV00002175,S005,P00175,1,1,0,0.0
SC00000311,2025-12-31,INV00010830,S022,P00330,5,5,0,0.0
SC00000312,2025-12-31,INV00010739,S022,P00239,3,3,0,0.0
SC00000313,2025-12-31,INV00002809,S006,P00309,21,20,-1,-0.0476
SC00000314,2025-12-31,INV00006693,S014,P00193,4,4,0,0.0
SC00000315,2025-12-31,INV00001722,S004,P00222,10,10,0,0.0
SC00000316,2025-12-31,INV00013238,S027,P00238,1,1,0,0.0
SC00000317,2025-12-31,INV00005234,S011,P00234,1,1,0,0.0
SC00000318,2025-12-31,INV00000693,S002,P00193,1,1,0,0.0
SC00000319,2025-12-31,INV00011512,S024,P00012,3,3,0,0.0
SC00000320,2025-12-31,INV00006254,S013,P00254,4,4,0,0.0
SC00000321,2025-12-31,INV00003303,S007,P00303,14,14,0,0.0
SC00000322,2025-12-31,INV00006389,S013,P00389,2,2,0,0.0
SC00000323,2025-12-31,INV00010803,S022,P00303,12,12,0,0.0
SC00000324,2025-12-31,INV00013854,S028,P00354,10,10,0,0.0
SC00000325,2025-12-31,INV00007517,S016,P00017,4,4,0,0.0
SC00000326,2025-12-31,INV00009269,S019,P00269,4,4,0,0.0
SC00000327,2025-12-31,INV00011419,S023,P00419,3,3,0,0.0
SC00000328,2025-12-31,INV00005110,S011,P00110,1,1,0,0.0
SC00000329,2025-12-31,INV00001445,S003,P00445,1,1,0,0.0
SC00000330,2025-12-31,INV00013054,S027,P00054,1,1,0,0.0
SC00000331,2025-12-31,INV00014580,S030,P00080,4,4,0,0.0
SC00000332,2025-12-31,INV00003804,S008,P00304,2,2,0,0.0
SC00000333,2025-12-31,INV00006815,S014,P00315,1,1,0,0.0
SC00000334,2025-12-31,INV00001282,S003,P00282,1,1,0,0.0
SC00000335,2025-12-31,INV00000415,S001,P00415,4,4,0,0.0
SC00000336,2025-12-31,INV00011213,S023,P00213,3,3,0,0.0
SC00000337,2025-12-31,INV00000259,S001,P00259,5,5,0,0.0
SC00000338,2025-12-31,INV00014993,S030,P00493,4,4,0,0.0
SC00000339,2025-12-31,INV00008796,S018,P00296,5,5,0,0.0
SC00000340,2025-12-31,INV00005136,S011,P00136,1,1,0,0.0
SC00000341,2025-12-31,INV00009699,S020,P00199,3,3,0,0.0
SC00000342,2025-12-31,INV00011326,S023,P00326,1,1,0,0.0
SC00000343,2025-12-31,INV00011847,S024,P00347,1,1,0,0.0
SC00000344,2025-12-31,INV00004150,S009,P00150,14,14,0,0.0
SC00000345,2025-12-31,INV00014282,S029,P00282,1,1,0,0.0
SC00000346,2025-12-31,INV00008575,S018,P00075,4,4,0,0.0
SC00000347,2025-12-31,INV00005550,S012,P00050,8,8,0,0.0
SC00000348,2025-12-31,INV00007574,S016,P00074,19,19,0,0.0
SC00000349,2025-12-31,INV00012250,S025,P00250,6,6,0,0.0
SC00000350,2025-12-31,INV00004198,S009,P00198,3,3,0,0.0
SC00000351,2025-12-31,INV00001339,S003,P00339,4,4,0,0.0
SC00000352,2025-12-31,INV00011978,S024,P00478,5,5,0,0.0
SC00000353,2025-12-31,INV00000873,S002,P00373,1,1,0,0.0
SC00000354,2025-12-31,INV00002464,S005,P00464,13,13,0,0.0
SC00000355,2025-12-31,INV00013657,S028,P00157,7,7,0,0.0
SC00000356,2025-12-31,INV00008294,S017,P00294,9,9,0,0.0
SC00000357,2025-12-31,INV00005583,S012,P00083,5,5,0,0.0
SC00000358,2025-12-31,INV00002967,S006,P00467,1,1,0,0.0
SC00000359,2025-12-31,INV00008246,S017,P00246,1,1,0,0.0
SC00000360,2025-12-31,INV00002238,S005,P00238,1,1,0,0.0
SC00000361,2025-12-31,INV00000273,S001,P00273,5,5,0,0.0
SC00000362,2025-12-31,INV00015000,S030,P00500,1,1,0,0.0
SC00000363,2025-12-31,INV00000783,S002,P00283,3,3,0,0.0
SC00000364,2025-12-31,INV00010641,S022,P00141,2,2,0,0.0
SC00000365,2025-12-31,INV00003500,S007,P00500,2,2,0,0.0
SC00000366,2025-12-31,INV00012872,S026,P00372,4,4,0,0.0
SC00000367,2025-12-31,INV00011192,S023,P00192,3,3,0,0.0
SC00000368,2025-12-31,INV00003446,S007,P00446,3,3,0,0.0
SC00000369,2025-12-31,INV00004321,S009,P00321,6,6,0,0.0
SC00000370,2025-12-31,INV00007023,S015,P00023,3,3,0,0.0
SC00000371,2025-12-31,INV00008263,S017,P00263,9,9,0,0.0
SC00000372,2025-12-31,INV00008761,S018,P00261,8,8,0,0.0
SC00000373,2025-12-31,INV00000765,S002,P00265,5,5,0,0.0
SC00000374,2025-12-31,INV00011495,S023,P00495,3,3,0,0.0
SC00000375,2025-12-31,INV00010829,S022,P00329,6,6,0,0.0
SC00000376,2025-12-31,INV00014482,S029,P00482,10,10,0,0.0
SC00000377,2025-12-31,INV00005562,S012,P00062,8,8,0,0.0
SC00000378,2025-12-31,INV00010855,S022,P00355,3,3,0,0.0
SC00000379,2025-12-31,INV00005810,S012,P00310,5,5,0,0.0
SC00000380,2025-12-31,INV00010336,S021,P00336,4,4,0,0.0
SC00000381,2025-12-31,INV00013432,S027,P00432,5,5,0,0.0
SC00000382,2025-12-31,INV00012210,S025,P00210,2,2,0,0.0
SC00000383,2025-12-31,INV00013685,S028,P00185,1,1,0,0.0
SC00000384,2025-12-31,INV00010745,S022,P00245,21,21,0,0.0
SC00000385,2025-12-31,INV00009916,S020,P00416,21,20,-1,-0.0476
